Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
12/31/2007,0,0.00,-2673.75,0.00,-2673.75,0.00
01/01/2008,0,0,-2673.75,0.00,-2673.75,0
01/02/2008,0,0.00,-2673.75,0.00,-2673.75,0.00
01/03/2008,0,0.00,-2673.75,0.00,-2673.75,0.00
01/04/2008,0,0.00,-2673.75,0.00,-2673.75,0.00
01/05/2008,0,0,-2673.75,0.00,-2673.75,0
01/06/2008,0,0,-2673.75,0.00,-2673.75,0
01/07/2008,0,0.00,-2673.75,0.00,-2673.75,0.00
01/08/2008,0,0.00,-2673.75,0.00,-2673.75,0.00
01/09/2008,0,0.00,-2673.75,0.00,-2673.75,0.00
01/10/2008,0,0.00,-2673.75,0.00,-2673.75,0.00
01/11/2008,0,0.00,-2673.75,967.50,-1706.25,967.50
01/12/2008,0,0,-2673.75,967.50,-1706.25,0
01/13/2008,0,0,-2673.75,967.50,-1706.25,0
01/14/2008,0,0.00,-2673.75,1155.00,-1518.75,187.50
01/15/2008,0,0.00,-2673.75,2342.50,-331.25,1187.50
01/16/2008,0,0.00,-2673.75,1436.25,-1237.50,-906.25
01/17/2008,0,0.00,-2673.75,2655.00,-18.75,1218.75
01/18/2008,0,0.00,-2673.75,2342.50,-331.25,-312.50
01/19/2008,0,0,-2673.75,2342.50,-331.25,0
01/20/2008,0,0,-2673.75,2342.50,-331.25,0
01/21/2008,0,0,-2673.75,2342.50,-331.25,0
01/22/2008,1,2716.25,42.50,2716.25,42.50,373.75
01/23/2008,0,0.00,42.50,0.00,42.50,0.00
01/24/2008,0,0.00,42.50,0.00,42.50,0.00
01/25/2008,0,0.00,42.50,0.00,42.50,0.00
01/26/2008,0,0,42.50,0.00,42.50,0
01/27/2008,0,0,42.50,0.00,42.50,0
01/28/2008,0,0.00,42.50,0.00,42.50,0.00
01/29/2008,0,0.00,42.50,0.00,42.50,0.00
01/30/2008,0,0.00,42.50,0.00,42.50,0.00
01/31/2008,0,0.00,42.50,0.00,42.50,0.00
02/01/2008,0,0.00,42.50,0.00,42.50,0.00
02/02/2008,0,0,42.50,0.00,42.50,0
02/03/2008,0,0,42.50,0.00,42.50,0
02/04/2008,0,0.00,42.50,0.00,42.50,0.00
02/05/2008,0,0.00,42.50,0.00,42.50,0.00
02/06/2008,0,0.00,42.50,0.00,42.50,0.00
02/07/2008,0,0.00,42.50,0.00,42.50,0.00
02/08/2008,0,0.00,42.50,0.00,42.50,0.00
02/09/2008,0,0,42.50,0.00,42.50,0
02/10/2008,0,0,42.50,0.00,42.50,0
02/11/2008,0,0.00,42.50,0.00,42.50,0.00
02/12/2008,0,0.00,42.50,0.00,42.50,0.00
02/13/2008,0,0.00,42.50,0.00,42.50,0.00
02/14/2008,0,0.00,42.50,0.00,42.50,0.00
02/15/2008,0,0.00,42.50,0.00,42.50,0.00
02/16/2008,0,0,42.50,0.00,42.50,0
02/17/2008,0,0,42.50,0.00,42.50,0
02/18/2008,0,0,42.50,0.00,42.50,0
02/19/2008,0,0.00,42.50,0.00,42.50,0.00
02/20/2008,0,0.00,42.50,0.00,42.50,0.00
02/21/2008,0,0.00,42.50,0.00,42.50,0.00
02/22/2008,0,0.00,42.50,655.00,697.50,655.00
02/23/2008,0,0,42.50,655.00,697.50,0
02/24/2008,0,0,42.50,655.00,697.50,0
02/25/2008,0,0.00,42.50,1842.50,1885.00,1187.50
02/26/2008,0,0.00,42.50,1655.00,1697.50,-187.50
02/27/2008,0,0.00,42.50,1530.00,1572.50,-125.00
02/28/2008,0,0.00,42.50,-501.25,-458.75,-2031.25
02/29/2008,0,0.00,42.50,-2313.75,-2271.25,-1812.50
03/01/2008,0,0,42.50,-2313.75,-2271.25,0
03/02/2008,0,0,42.50,-2313.75,-2271.25,0
03/03/2008,0,0.00,42.50,-1782.50,-1740.00,531.25
03/04/2008,0,0.00,42.50,-876.25,-833.75,906.25
03/05/2008,0,0.00,42.50,248.75,291.25,1125.00
03/06/2008,0,0.00,42.50,-220.00,-177.50,-468.75
03/07/2008,0,0.00,42.50,-470.00,-427.50,-250.00
03/08/2008,0,0,42.50,-470.00,-427.50,0
03/09/2008,0,0,42.50,-470.00,-427.50,0
03/10/2008,0,0.00,42.50,-1751.25,-1708.75,-1281.25
03/11/2008,0,0.00,42.50,-532.50,-490.00,1218.75
03/12/2008,0,0.00,42.50,-2251.25,-2208.75,-1718.75
03/13/2008,1,-2346.25,-2303.75,-2346.25,-2303.75,-95.00
03/14/2008,0,0.00,-2303.75,0.00,-2303.75,0.00
03/15/2008,0,0,-2303.75,0.00,-2303.75,0
03/16/2008,0,0,-2303.75,0.00,-2303.75,0
03/17/2008,0,0.00,-2303.75,92.50,-2211.25,92.50
03/18/2008,0,0.00,-2303.75,1405.00,-898.75,1312.50
03/19/2008,0,0.00,-2303.75,-32.50,-2336.25,-1437.50
03/20/2008,0,0.00,-2303.75,-532.50,-2836.25,-500.00
03/21/2008,0,0,-2303.75,-532.50,-2836.25,0
03/22/2008,0,0,-2303.75,-532.50,-2836.25,0
03/23/2008,0,0,-2303.75,-532.50,-2836.25,0
03/24/2008,0,0.00,-2303.75,2155.00,-148.75,2687.50
03/25/2008,0,0.00,-2303.75,1467.50,-836.25,-687.50
03/26/2008,0,0.00,-2303.75,1280.00,-1023.75,-187.50
03/27/2008,0,0.00,-2303.75,2405.00,101.25,1125.00
03/28/2008,0,0.00,-2303.75,1467.50,-836.25,-937.50
03/29/2008,0,0,-2303.75,1467.50,-836.25,0
03/30/2008,0,0,-2303.75,1467.50,-836.25,0
03/31/2008,0,0.00,-2303.75,1342.50,-961.25,-125.00
04/01/2008,1,1310.00,-993.75,1310.00,-993.75,-32.50
04/02/2008,0,0.00,-993.75,0.00,-993.75,0.00
04/03/2008,0,0.00,-993.75,0.00,-993.75,0.00
04/04/2008,0,0.00,-993.75,0.00,-993.75,0.00
04/05/2008,0,0,-993.75,0.00,-993.75,0
04/06/2008,0,0,-993.75,0.00,-993.75,0
04/07/2008,0,0.00,-993.75,0.00,-993.75,0.00
04/08/2008,0,0.00,-993.75,0.00,-993.75,0.00
04/09/2008,0,0.00,-993.75,0.00,-993.75,0.00
04/10/2008,0,0.00,-993.75,0.00,-993.75,0.00
04/11/2008,0,0.00,-993.75,0.00,-993.75,0.00
04/12/2008,0,0,-993.75,0.00,-993.75,0
04/13/2008,0,0,-993.75,0.00,-993.75,0
04/14/2008,0,0.00,-993.75,0.00,-993.75,0.00
04/15/2008,0,0.00,-993.75,0.00,-993.75,0.00
04/16/2008,0,0.00,-993.75,0.00,-993.75,0.00
04/17/2008,0,0.00,-993.75,0.00,-993.75,0.00
04/18/2008,0,0.00,-993.75,0.00,-993.75,0.00
