Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
03/14/2008,1,-35.00,-35.00,-35.00,-35.00,-35.00
03/15/2008,0,0,-35.00,0.00,-35.00,0
03/16/2008,0,0,-35.00,0.00,-35.00,0
03/17/2008,1,-1035.00,-1070.00,-1035.00,-1070.00,-1035.00
03/18/2008,1,-450.00,-1520.00,-450.00,-1520.00,-450.00
03/19/2008,1,-1035.00,-2555.00,-1035.00,-2555.00,-1035.00
03/20/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
03/21/2008,0,0,-2555.00,0.00,-2555.00,0
03/22/2008,0,0,-2555.00,0.00,-2555.00,0
03/23/2008,0,0,-2555.00,0.00,-2555.00,0
03/24/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
03/25/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
03/26/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
03/27/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
03/28/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
03/29/2008,0,0,-2555.00,0.00,-2555.00,0
03/30/2008,0,0,-2555.00,0.00,-2555.00,0
03/31/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/01/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/02/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/03/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/04/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/05/2008,0,0,-2555.00,0.00,-2555.00,0
04/06/2008,0,0,-2555.00,0.00,-2555.00,0
04/07/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/08/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/09/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/10/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/11/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/12/2008,0,0,-2555.00,0.00,-2555.00,0
04/13/2008,0,0,-2555.00,0.00,-2555.00,0
04/14/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/15/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/16/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/17/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/18/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/19/2008,0,0,-2555.00,0.00,-2555.00,0
04/20/2008,0,0,-2555.00,0.00,-2555.00,0
04/21/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/22/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/23/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/24/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/25/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/26/2008,0,0,-2555.00,0.00,-2555.00,0
04/27/2008,0,0,-2555.00,0.00,-2555.00,0
04/28/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/29/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
04/30/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
05/01/2008,0,0.00,-2555.00,0.00,-2555.00,0.00
05/02/2008,1,-35.00,-2590.00,-35.00,-2590.00,-35.00
05/03/2008,0,0,-2590.00,0.00,-2590.00,0
05/04/2008,0,0,-2590.00,0.00,-2590.00,0
05/05/2008,0,0.00,-2590.00,0.00,-2590.00,0.00
05/06/2008,0,0.00,-2590.00,0.00,-2590.00,0.00
05/07/2008,0,0.00,-2590.00,0.00,-2590.00,0.00
05/08/2008,0,0.00,-2590.00,0.00,-2590.00,0.00
05/09/2008,0,0.00,-2590.00,0.00,-2590.00,0.00
05/10/2008,0,0,-2590.00,0.00,-2590.00,0
05/11/2008,0,0,-2590.00,0.00,-2590.00,0
05/12/2008,0,0.00,-2590.00,0.00,-2590.00,0.00
05/13/2008,0,0.00,-2590.00,0.00,-2590.00,0.00
05/14/2008,0,0.00,-2590.00,0.00,-2590.00,0.00
05/15/2008,0,0.00,-2590.00,0.00,-2590.00,0.00
