Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
03/17/2008,1,-835.00,-835.00,-835.00,-835.00,-835.00
03/18/2008,0,0.00,-835.00,0.00,-835.00,0.00
03/19/2008,0,0.00,-835.00,0.00,-835.00,0.00
03/20/2008,0,0.00,-835.00,0.00,-835.00,0.00
03/21/2008,0,0,-835.00,0.00,-835.00,0
03/22/2008,0,0,-835.00,0.00,-835.00,0
03/23/2008,0,0,-835.00,0.00,-835.00,0
03/24/2008,1,465.00,-370.00,465.00,-370.00,465.00
03/25/2008,1,565.00,195.00,565.00,195.00,565.00
03/26/2008,0,0.00,195.00,0.00,195.00,0.00
03/27/2008,1,565.00,760.00,565.00,760.00,565.00
03/28/2008,1,-835.00,-75.00,-835.00,-75.00,-835.00
03/29/2008,0,0,-75.00,0.00,-75.00,0
03/30/2008,0,0,-75.00,0.00,-75.00,0
03/31/2008,0,0.00,-75.00,0.00,-75.00,0.00
04/01/2008,0,0.00,-75.00,0.00,-75.00,0.00
04/02/2008,0,0.00,-75.00,0.00,-75.00,0.00
04/03/2008,0,0.00,-75.00,0.00,-75.00,0.00
04/04/2008,0,0.00,-75.00,0.00,-75.00,0.00
04/05/2008,0,0,-75.00,0.00,-75.00,0
04/06/2008,0,0,-75.00,0.00,-75.00,0
04/07/2008,0,0.00,-75.00,0.00,-75.00,0.00
04/08/2008,1,-835.00,-910.00,-835.00,-910.00,-835.00
04/09/2008,0,0.00,-910.00,0.00,-910.00,0.00
04/10/2008,1,565.00,-345.00,565.00,-345.00,565.00
04/11/2008,1,25.00,-320.00,25.00,-320.00,25.00
04/12/2008,0,0,-320.00,0.00,-320.00,0
04/13/2008,0,0,-320.00,0.00,-320.00,0
04/14/2008,0,0.00,-320.00,0.00,-320.00,0.00
04/15/2008,0,0.00,-320.00,0.00,-320.00,0.00
04/16/2008,0,0.00,-320.00,0.00,-320.00,0.00
04/17/2008,0,0.00,-320.00,0.00,-320.00,0.00
04/18/2008,0,0.00,-320.00,0.00,-320.00,0.00
04/19/2008,0,0,-320.00,0.00,-320.00,0
04/20/2008,0,0,-320.00,0.00,-320.00,0
04/21/2008,0,0.00,-320.00,0.00,-320.00,0.00
04/22/2008,0,0.00,-320.00,0.00,-320.00,0.00
04/23/2008,0,0.00,-320.00,0.00,-320.00,0.00
04/24/2008,0,0.00,-320.00,0.00,-320.00,0.00
04/25/2008,0,0.00,-320.00,0.00,-320.00,0.00
04/26/2008,0,0,-320.00,0.00,-320.00,0
04/27/2008,0,0,-320.00,0.00,-320.00,0
04/28/2008,1,-205.00,-525.00,-205.00,-525.00,-205.00
04/29/2008,0,0.00,-525.00,0.00,-525.00,0.00
04/30/2008,1,565.00,40.00,565.00,40.00,565.00
05/01/2008,1,565.00,605.00,565.00,605.00,565.00
05/02/2008,1,565.00,1170.00,565.00,1170.00,565.00
05/03/2008,0,0,1170.00,0.00,1170.00,0
05/04/2008,0,0,1170.00,0.00,1170.00,0
05/05/2008,0,0.00,1170.00,0.00,1170.00,0.00
05/06/2008,0,0.00,1170.00,0.00,1170.00,0.00
05/07/2008,1,75.00,1245.00,75.00,1245.00,75.00
05/08/2008,0,0.00,1245.00,0.00,1245.00,0.00
05/09/2008,0,0.00,1245.00,0.00,1245.00,0.00
05/10/2008,0,0,1245.00,0.00,1245.00,0
05/11/2008,0,0,1245.00,0.00,1245.00,0
05/12/2008,1,565.00,1810.00,565.00,1810.00,565.00
05/13/2008,1,-835.00,975.00,-835.00,975.00,-835.00
05/14/2008,0,0.00,975.00,0.00,975.00,0.00
05/15/2008,0,0.00,975.00,0.00,975.00,0.00
05/16/2008,0,0.00,975.00,0.00,975.00,0.00
05/17/2008,0,0,975.00,0.00,975.00,0
05/18/2008,0,0,975.00,0.00,975.00,0
05/19/2008,0,0.00,975.00,0.00,975.00,0.00
05/20/2008,0,0.00,975.00,0.00,975.00,0.00
05/21/2008,1,565.00,1540.00,565.00,1540.00,565.00
05/22/2008,1,565.00,2105.00,565.00,2105.00,565.00
05/23/2008,0,0.00,2105.00,0.00,2105.00,0.00
05/24/2008,0,0,2105.00,0.00,2105.00,0
05/25/2008,0,0,2105.00,0.00,2105.00,0
05/26/2008,0,0.00,2105.00,0.00,2105.00,0.00
05/27/2008,1,-835.00,1270.00,-835.00,1270.00,-835.00
05/28/2008,0,0.00,1270.00,0.00,1270.00,0.00
05/29/2008,0,0.00,1270.00,0.00,1270.00,0.00
05/30/2008,0,0.00,1270.00,0.00,1270.00,0.00
05/31/2008,0,0,1270.00,0.00,1270.00,0
06/01/2008,0,0,1270.00,0.00,1270.00,0
06/02/2008,0,0.00,1270.00,0.00,1270.00,0.00
06/03/2008,0,0.00,1270.00,0.00,1270.00,0.00
06/04/2008,0,0.00,1270.00,0.00,1270.00,0.00
06/05/2008,0,0.00,1270.00,0.00,1270.00,0.00
06/06/2008,0,0.00,1270.00,0.00,1270.00,0.00
06/07/2008,0,0,1270.00,0.00,1270.00,0
06/08/2008,0,0,1270.00,0.00,1270.00,0
06/09/2008,0,0.00,1270.00,0.00,1270.00,0.00
06/10/2008,0,0.00,1270.00,0.00,1270.00,0.00
06/11/2008,0,0.00,1270.00,0.00,1270.00,0.00
06/12/2008,0,0.00,1270.00,0.00,1270.00,0.00
06/13/2008,0,0.00,1270.00,0.00,1270.00,0.00
06/14/2008,0,0,1270.00,0.00,1270.00,0
06/15/2008,0,0,1270.00,0.00,1270.00,0
06/16/2008,0,0.00,1270.00,0.00,1270.00,0.00
06/17/2008,0,0.00,1270.00,0.00,1270.00,0.00
06/18/2008,0,0.00,1270.00,0.00,1270.00,0.00
06/19/2008,1,565.00,1835.00,565.00,1835.00,565.00
06/20/2008,1,565.00,2400.00,565.00,2400.00,565.00
06/21/2008,0,0,2400.00,0.00,2400.00,0
06/22/2008,0,0,2400.00,0.00,2400.00,0
06/23/2008,0,0.00,2400.00,0.00,2400.00,0.00
06/24/2008,0,0.00,2400.00,0.00,2400.00,0.00
06/25/2008,0,0.00,2400.00,0.00,2400.00,0.00
06/26/2008,0,0.00,2400.00,0.00,2400.00,0.00
06/27/2008,0,0.00,2400.00,0.00,2400.00,0.00
06/28/2008,0,0,2400.00,0.00,2400.00,0
06/29/2008,0,0,2400.00,0.00,2400.00,0
06/30/2008,1,-835.00,1565.00,-835.00,1565.00,-835.00
07/01/2008,0,0.00,1565.00,0.00,1565.00,0.00
07/02/2008,1,565.00,2130.00,565.00,2130.00,565.00
07/03/2008,1,-835.00,1295.00,-835.00,1295.00,-835.00
07/04/2008,0,0,1295.00,0.00,1295.00,0
07/05/2008,0,0,1295.00,0.00,1295.00,0
07/06/2008,0,0,1295.00,0.00,1295.00,0
07/07/2008,0,0.00,1295.00,0.00,1295.00,0.00
07/08/2008,0,0.00,1295.00,0.00,1295.00,0.00
07/09/2008,0,0.00,1295.00,0.00,1295.00,0.00
07/10/2008,0,0.00,1295.00,0.00,1295.00,0.00
07/11/2008,0,0.00,1295.00,0.00,1295.00,0.00
07/12/2008,0,0,1295.00,0.00,1295.00,0
07/13/2008,0,0,1295.00,0.00,1295.00,0
07/14/2008,1,565.00,1860.00,565.00,1860.00,565.00
07/15/2008,1,-835.00,1025.00,-835.00,1025.00,-835.00
07/16/2008,1,565.00,1590.00,565.00,1590.00,565.00
07/17/2008,0,0.00,1590.00,0.00,1590.00,0.00
07/18/2008,0,0.00,1590.00,0.00,1590.00,0.00
07/19/2008,0,0,1590.00,0.00,1590.00,0
07/20/2008,0,0,1590.00,0.00,1590.00,0
07/21/2008,0,0.00,1590.00,0.00,1590.00,0.00
07/22/2008,0,0.00,1590.00,0.00,1590.00,0.00
07/23/2008,0,0.00,1590.00,0.00,1590.00,0.00
07/24/2008,1,565.00,2155.00,565.00,2155.00,565.00
07/25/2008,1,565.00,2720.00,565.00,2720.00,565.00
07/26/2008,0,0,2720.00,0.00,2720.00,0
07/27/2008,0,0,2720.00,0.00,2720.00,0
07/28/2008,0,0.00,2720.00,0.00,2720.00,0.00
07/29/2008,0,0.00,2720.00,0.00,2720.00,0.00
07/30/2008,0,0.00,2720.00,0.00,2720.00,0.00
07/31/2008,0,0.00,2720.00,0.00,2720.00,0.00
08/01/2008,0,0.00,2720.00,0.00,2720.00,0.00
08/02/2008,0,0,2720.00,0.00,2720.00,0
08/03/2008,0,0,2720.00,0.00,2720.00,0
08/04/2008,0,0.00,2720.00,0.00,2720.00,0.00
08/05/2008,0,0.00,2720.00,0.00,2720.00,0.00
08/06/2008,1,565.00,3285.00,565.00,3285.00,565.00
08/07/2008,1,565.00,3850.00,565.00,3850.00,565.00
08/08/2008,0,0.00,3850.00,0.00,3850.00,0.00
08/09/2008,0,0,3850.00,0.00,3850.00,0
08/10/2008,0,0,3850.00,0.00,3850.00,0
08/11/2008,1,565.00,4415.00,565.00,4415.00,565.00
08/12/2008,1,-835.00,3580.00,-835.00,3580.00,-835.00
08/13/2008,1,-835.00,2745.00,-835.00,2745.00,-835.00
08/14/2008,0,0.00,2745.00,0.00,2745.00,0.00
08/15/2008,0,0.00,2745.00,0.00,2745.00,0.00
08/16/2008,0,0,2745.00,0.00,2745.00,0
08/17/2008,0,0,2745.00,0.00,2745.00,0
08/18/2008,1,565.00,3310.00,565.00,3310.00,565.00
08/19/2008,0,0.00,3310.00,0.00,3310.00,0.00
08/20/2008,0,0.00,3310.00,0.00,3310.00,0.00
08/21/2008,0,0.00,3310.00,0.00,3310.00,0.00
