Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
12/31/2007,1,482.50,11810.00,482.50,11810.00,482.50
01/01/2008,0,0,11810.00,0.00,11810.00,0
01/02/2008,0,0.00,11810.00,0.00,11810.00,0.00
01/03/2008,0,0.00,11810.00,0.00,11810.00,0.00
01/04/2008,0,0.00,11810.00,0.00,11810.00,0.00
01/05/2008,0,0,11810.00,0.00,11810.00,0
01/06/2008,0,0.00,11810.00,0.00,11810.00,0.00
01/07/2008,0,0.00,11810.00,0.00,11810.00,0.00
01/08/2008,0,0.00,11810.00,0.00,11810.00,0.00
01/09/2008,0,0.00,11810.00,0.00,11810.00,0.00
01/10/2008,1,620.00,12430.00,620.00,12430.00,620.00
01/11/2008,0,0.00,12430.00,0.00,12430.00,0.00
01/12/2008,0,0,12430.00,0.00,12430.00,0
01/13/2008,0,0.00,12430.00,0.00,12430.00,0.00
01/14/2008,0,0.00,12430.00,0.00,12430.00,0.00
01/15/2008,0,0.00,12430.00,0.00,12430.00,0.00
01/16/2008,1,995.00,13425.00,995.00,13425.00,995.00
01/17/2008,0,0.00,13425.00,0.00,13425.00,0.00
01/18/2008,0,0.00,13425.00,0.00,13425.00,0.00
01/19/2008,0,0,13425.00,0.00,13425.00,0
01/20/2008,0,0.00,13425.00,0.00,13425.00,0.00
01/21/2008,0,0.00,13425.00,0.00,13425.00,0.00
01/22/2008,1,1070.00,14495.00,1070.00,14495.00,1070.00
01/23/2008,1,-630.00,13865.00,-630.00,13865.00,-630.00
01/24/2008,0,0.00,13865.00,0.00,13865.00,0.00
01/25/2008,0,0.00,13865.00,0.00,13865.00,0.00
01/26/2008,0,0,13865.00,0.00,13865.00,0
01/27/2008,0,0.00,13865.00,0.00,13865.00,0.00
01/28/2008,0,0.00,13865.00,0.00,13865.00,0.00
01/29/2008,0,0.00,13865.00,0.00,13865.00,0.00
01/30/2008,0,0.00,13865.00,0.00,13865.00,0.00
01/31/2008,0,0.00,13865.00,0.00,13865.00,0.00
02/01/2008,0,0.00,13865.00,0.00,13865.00,0.00
02/02/2008,0,0,13865.00,0.00,13865.00,0
02/03/2008,0,0.00,13865.00,0.00,13865.00,0.00
02/04/2008,0,0.00,13865.00,0.00,13865.00,0.00
02/05/2008,1,57.50,13922.50,57.50,13922.50,57.50
02/06/2008,0,0.00,13922.50,0.00,13922.50,0.00
02/07/2008,0,0.00,13922.50,0.00,13922.50,0.00
02/08/2008,0,0.00,13922.50,0.00,13922.50,0.00
