Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
01/14/2008,1,1000.00,1000.00,1000.00,1000.00,1000.00
01/15/2008,0,0.00,1000.00,0.00,1000.00,0.00
01/16/2008,0,0.00,1000.00,0.00,1000.00,0.00
01/17/2008,0,0.00,1000.00,0.00,1000.00,0.00
01/18/2008,0,0.00,1000.00,0.00,1000.00,0.00
01/19/2008,0,0,1000.00,0.00,1000.00,0
01/20/2008,0,0.00,1000.00,0.00,1000.00,0.00
01/21/2008,0,0.00,1000.00,0.00,1000.00,0.00
01/22/2008,0,0.00,1000.00,0.00,1000.00,0.00
01/23/2008,0,0.00,1000.00,0.00,1000.00,0.00
01/24/2008,0,0.00,1000.00,-62.50,937.50,-62.50
01/25/2008,0,0.00,1000.00,1337.50,2337.50,1400.00
01/26/2008,0,0,1000.00,1337.50,2337.50,0
01/27/2008,2,975.00,1975.00,975.00,1975.00,-362.50
01/28/2008,0,0.00,1975.00,0.00,1975.00,0.00
01/29/2008,0,0.00,1975.00,0.00,1975.00,0.00
01/30/2008,0,0.00,1975.00,475.00,2450.00,475.00
01/31/2008,1,1937.50,3912.50,1937.50,3912.50,1462.50
02/01/2008,0,0.00,3912.50,0.00,3912.50,0.00
02/02/2008,0,0,3912.50,0.00,3912.50,0
02/03/2008,0,0.00,3912.50,112.50,4025.00,112.50
02/04/2008,1,962.50,4875.00,1000.00,4912.50,887.50
02/05/2008,1,-625.00,4250.00,-625.00,4250.00,-662.50
02/06/2008,0,0.00,4250.00,87.50,4337.50,87.50
02/07/2008,1,812.50,5062.50,812.50,5062.50,725.00
02/08/2008,0,0.00,5062.50,0.00,5062.50,0.00
02/09/2008,0,0,5062.50,0.00,5062.50,0
02/10/2008,0,0.00,5062.50,0.00,5062.50,0.00
02/11/2008,0,0.00,5062.50,0.00,5062.50,0.00
02/12/2008,0,0.00,5062.50,0.00,5062.50,0.00
02/13/2008,0,0.00,5062.50,0.00,5062.50,0.00
02/14/2008,1,950.00,6012.50,950.00,6012.50,950.00
02/15/2008,0,0.00,6012.50,0.00,6012.50,0.00
02/16/2008,0,0,6012.50,0.00,6012.50,0
02/17/2008,0,0.00,6012.50,0.00,6012.50,0.00
02/18/2008,0,0.00,6012.50,0.00,6012.50,0.00
02/19/2008,0,0.00,6012.50,0.00,6012.50,0.00
02/20/2008,1,-625.00,5387.50,-625.00,5387.50,-625.00
02/21/2008,0,0.00,5387.50,0.00,5387.50,0.00
02/22/2008,0,0.00,5387.50,0.00,5387.50,0.00
02/23/2008,0,0,5387.50,0.00,5387.50,0
02/24/2008,0,0.00,5387.50,0.00,5387.50,0.00
02/25/2008,0,0.00,5387.50,0.00,5387.50,0.00
02/26/2008,0,0.00,5387.50,0.00,5387.50,0.00
02/27/2008,0,0.00,5387.50,0.00,5387.50,0.00
02/28/2008,0,0.00,5387.50,0.00,5387.50,0.00
02/29/2008,0,0.00,5387.50,0.00,5387.50,0.00
03/01/2008,0,0,5387.50,0.00,5387.50,0
03/02/2008,0,0.00,5387.50,-62.50,5325.00,-62.50
03/03/2008,1,412.50,5800.00,412.50,5800.00,475.00
03/04/2008,0,0.00,5800.00,0.00,5800.00,0.00
03/05/2008,0,0.00,5800.00,0.00,5800.00,0.00
03/06/2008,0,0.00,5800.00,0.00,5800.00,0.00
03/07/2008,0,0.00,5800.00,0.00,5800.00,0.00
03/08/2008,0,0,5800.00,0.00,5800.00,0
03/09/2008,0,0.00,5800.00,0.00,5800.00,0.00
03/10/2008,0,0.00,5800.00,0.00,5800.00,0.00
03/11/2008,0,0.00,5800.00,0.00,5800.00,0.00
03/12/2008,0,0.00,5800.00,-575.00,5225.00,-575.00
03/13/2008,1,-625.00,5175.00,-625.00,5175.00,-50.00
03/14/2008,0,0.00,5175.00,0.00,5175.00,0.00
03/15/2008,0,0,5175.00,0.00,5175.00,0
03/16/2008,0,0.00,5175.00,0.00,5175.00,0.00
03/17/2008,0,0.00,5175.00,0.00,5175.00,0.00
03/18/2008,0,0.00,5175.00,0.00,5175.00,0.00
03/19/2008,0,0.00,5175.00,0.00,5175.00,0.00
03/20/2008,0,0.00,5175.00,0.00,5175.00,0.00
03/21/2008,0,0,5175.00,0.00,5175.00,0
03/22/2008,0,0,5175.00,0.00,5175.00,0
03/23/2008,0,0.00,5175.00,0.00,5175.00,0.00
03/24/2008,0,0.00,5175.00,0.00,5175.00,0.00
03/25/2008,0,0.00,5175.00,0.00,5175.00,0.00
03/26/2008,1,-350.00,4825.00,-175.00,5000.00,-175.00
03/27/2008,1,-150.00,4675.00,-150.00,4675.00,-325.00
03/28/2008,0,0.00,4675.00,0.00,4675.00,0.00
03/29/2008,0,0,4675.00,0.00,4675.00,0
03/30/2008,0,0.00,4675.00,0.00,4675.00,0.00
