Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
12/31/2007,0,0.00,955.00,0.00,955.00,0.00
01/01/2008,0,0,955.00,0.00,955.00,0
01/02/2008,0,0.00,955.00,0.00,955.00,0.00
01/03/2008,0,0.00,955.00,0.00,955.00,0.00
01/04/2008,1,240.00,1195.00,487.50,1202.50,247.50
01/05/2008,0,0,1195.00,247.50,1202.50,0
01/06/2008,0,0,1195.00,247.50,1202.50,0
01/07/2008,0,0.00,1195.00,0.00,1195.00,-7.50
01/08/2008,0,0.00,1195.00,0.00,1195.00,0.00
01/09/2008,0,0.00,1195.00,0.00,1195.00,0.00
01/10/2008,0,0.00,1195.00,0.00,1195.00,0.00
01/11/2008,0,0.00,1195.00,0.00,1195.00,0.00
01/12/2008,0,0,1195.00,0.00,1195.00,0
01/13/2008,0,0,1195.00,0.00,1195.00,0
01/14/2008,1,-180.00,1015.00,-352.50,1022.50,-172.50
01/15/2008,1,-225.00,790.00,-442.50,797.50,-225.00
01/16/2008,0,0.00,790.00,0.00,790.00,-7.50
01/17/2008,0,0.00,790.00,0.00,790.00,0.00
01/18/2008,0,0.00,790.00,0.00,790.00,0.00
01/19/2008,0,0,790.00,0.00,790.00,0
01/20/2008,0,0,790.00,0.00,790.00,0
01/21/2008,0,0,790.00,0.00,790.00,0
01/22/2008,0,0.00,790.00,0.00,790.00,0.00
01/23/2008,0,0.00,790.00,0.00,790.00,0.00
01/24/2008,0,0.00,790.00,0.00,790.00,0.00
01/25/2008,1,-685.00,105.00,-1362.50,112.50,-677.50
01/26/2008,0,0,105.00,-677.50,112.50,0
01/27/2008,0,0,105.00,-677.50,112.50,0
01/28/2008,0,0.00,105.00,0.00,105.00,-7.50
01/29/2008,0,0.00,105.00,0.00,105.00,0.00
01/30/2008,0,0.00,105.00,0.00,105.00,0.00
01/31/2008,0,0.00,105.00,0.00,105.00,0.00
02/01/2008,1,510.00,615.00,1027.50,622.50,517.50
02/02/2008,0,0,615.00,517.50,622.50,0
02/03/2008,0,0,615.00,517.50,622.50,0
02/04/2008,0,0.00,615.00,0.00,615.00,-7.50
02/05/2008,0,0.00,615.00,0.00,615.00,0.00
02/06/2008,0,0.00,615.00,0.00,615.00,0.00
02/07/2008,0,0.00,615.00,0.00,615.00,0.00
02/08/2008,0,0.00,615.00,0.00,615.00,0.00
02/09/2008,0,0,615.00,0.00,615.00,0
02/10/2008,0,0,615.00,0.00,615.00,0
02/11/2008,0,0.00,615.00,0.00,615.00,0.00
02/12/2008,1,-85.00,530.00,-162.50,537.50,-77.50
02/13/2008,1,175.00,705.00,357.50,712.50,175.00
02/14/2008,0,0.00,705.00,0.00,705.00,-7.50
02/15/2008,0,0.00,705.00,0.00,705.00,0.00
02/16/2008,0,0,705.00,0.00,705.00,0
02/17/2008,0,0,705.00,0.00,705.00,0
02/18/2008,0,0,705.00,0.00,705.00,0
02/19/2008,1,50.00,755.00,107.50,762.50,57.50
02/20/2008,0,0.00,755.00,0.00,755.00,-7.50
02/21/2008,0,0.00,755.00,0.00,755.00,0.00
02/22/2008,0,0.00,755.00,0.00,755.00,0.00
02/23/2008,0,0,755.00,0.00,755.00,0
02/24/2008,0,0,755.00,0.00,755.00,0
02/25/2008,1,305.00,1060.00,617.50,1067.50,312.50
02/26/2008,0,0.00,1060.00,0.00,1060.00,-7.50
02/27/2008,0,0.00,1060.00,0.00,1060.00,0.00
02/28/2008,0,0.00,1060.00,0.00,1060.00,0.00
02/29/2008,1,50.00,1110.00,107.50,1117.50,57.50
03/01/2008,0,0,1110.00,57.50,1117.50,0
03/02/2008,0,0,1110.00,57.50,1117.50,0
03/03/2008,0,0.00,1110.00,0.00,1110.00,-7.50
03/04/2008,0,0.00,1110.00,0.00,1110.00,0.00
03/05/2008,1,0.00,1110.00,7.50,1117.50,7.50
03/06/2008,1,365.00,1475.00,737.50,1482.50,365.00
03/07/2008,0,0.00,1475.00,0.00,1475.00,-7.50
03/08/2008,0,0,1475.00,0.00,1475.00,0
03/09/2008,0,0,1475.00,0.00,1475.00,0
03/10/2008,0,0.00,1475.00,0.00,1475.00,0.00
03/11/2008,1,660.00,2135.00,1327.50,2142.50,667.50
03/12/2008,0,0.00,2135.00,0.00,2135.00,-7.50
03/13/2008,1,-1015.00,1120.00,-1015.00,1120.00,-1015.00
03/14/2008,0,0.00,1120.00,0.00,1120.00,0.00
03/15/2008,0,0,1120.00,0.00,1120.00,0
03/16/2008,0,0,1120.00,0.00,1120.00,0
03/17/2008,0,0.00,1120.00,0.00,1120.00,0.00
03/18/2008,1,770.00,1890.00,1547.50,1897.50,777.50
03/19/2008,0,0.00,1890.00,0.00,1890.00,-7.50
03/20/2008,1,65.00,1955.00,137.50,1962.50,72.50
03/21/2008,0,0,1955.00,72.50,1962.50,0
03/22/2008,0,0,1955.00,72.50,1962.50,0
03/23/2008,0,0,1955.00,72.50,1962.50,0
03/24/2008,1,20.00,1975.00,47.50,1982.50,20.00
03/25/2008,0,0.00,1975.00,0.00,1975.00,-7.50
03/26/2008,0,0.00,1975.00,0.00,1975.00,0.00
03/27/2008,0,0.00,1975.00,0.00,1975.00,0.00
03/28/2008,0,0.00,1975.00,0.00,1975.00,0.00
03/29/2008,0,0,1975.00,0.00,1975.00,0
03/30/2008,0,0,1975.00,0.00,1975.00,0
03/31/2008,0,0.00,1975.00,0.00,1975.00,0.00
04/01/2008,1,395.00,2370.00,797.50,2377.50,402.50
04/02/2008,0,0.00,2370.00,0.00,2370.00,-7.50
04/03/2008,0,0.00,2370.00,0.00,2370.00,0.00
04/04/2008,0,0.00,2370.00,0.00,2370.00,0.00
04/05/2008,0,0,2370.00,0.00,2370.00,0
04/06/2008,0,0,2370.00,0.00,2370.00,0
04/07/2008,1,-400.00,1970.00,-792.50,1977.50,-392.50
04/08/2008,0,0.00,1970.00,0.00,1970.00,-7.50
04/09/2008,0,0.00,1970.00,0.00,1970.00,0.00
04/10/2008,0,0.00,1970.00,0.00,1970.00,0.00
04/11/2008,1,400.00,2370.00,807.50,2377.50,407.50
04/12/2008,0,0,2370.00,407.50,2377.50,0
04/13/2008,0,0,2370.00,407.50,2377.50,0
04/14/2008,0,0.00,2370.00,0.00,2370.00,-7.50
04/15/2008,0,0.00,2370.00,0.00,2370.00,0.00
04/16/2008,1,285.00,2655.00,577.50,2662.50,292.50
04/17/2008,1,-180.00,2475.00,-352.50,2482.50,-180.00
04/18/2008,1,-240.00,2235.00,-472.50,2242.50,-240.00
04/19/2008,0,0,2235.00,-232.50,2242.50,0
04/20/2008,0,0,2235.00,-232.50,2242.50,0
04/21/2008,0,0.00,2235.00,0.00,2235.00,-7.50
04/22/2008,1,70.00,2305.00,147.50,2312.50,77.50
04/23/2008,0,0.00,2305.00,0.00,2305.00,-7.50
04/24/2008,0,0.00,2305.00,0.00,2305.00,0.00
04/25/2008,0,0.00,2305.00,0.00,2305.00,0.00
04/26/2008,0,0,2305.00,0.00,2305.00,0
04/27/2008,0,0,2305.00,0.00,2305.00,0
04/28/2008,1,60.00,2365.00,127.50,2372.50,67.50
04/29/2008,0,0.00,2365.00,0.00,2365.00,-7.50
04/30/2008,1,-440.00,1925.00,-872.50,1932.50,-432.50
05/01/2008,1,420.00,2345.00,847.50,2352.50,420.00
05/02/2008,0,0.00,2345.00,0.00,2345.00,-7.50
05/03/2008,0,0,2345.00,0.00,2345.00,0
05/04/2008,0,0,2345.00,0.00,2345.00,0
05/05/2008,0,0.00,2345.00,0.00,2345.00,0.00
05/06/2008,0,0.00,2345.00,0.00,2345.00,0.00
05/07/2008,0,0.00,2345.00,0.00,2345.00,0.00
05/08/2008,0,0.00,2345.00,0.00,2345.00,0.00
05/09/2008,0,0.00,2345.00,0.00,2345.00,0.00
05/10/2008,0,0,2345.00,0.00,2345.00,0
05/11/2008,0,0,2345.00,0.00,2345.00,0
05/12/2008,1,290.00,2635.00,587.50,2642.50,297.50
05/13/2008,0,0.00,2635.00,0.00,2635.00,-7.50
05/14/2008,1,-455.00,2180.00,-902.50,2187.50,-447.50
05/15/2008,0,0.00,2180.00,0.00,2180.00,-7.50
05/16/2008,0,0.00,2180.00,0.00,2180.00,0.00
05/17/2008,0,0,2180.00,0.00,2180.00,0
05/18/2008,0,0,2180.00,0.00,2180.00,0
05/19/2008,0,0.00,2180.00,0.00,2180.00,0.00
05/20/2008,1,-250.00,1930.00,-492.50,1937.50,-242.50
05/21/2008,0,0.00,1930.00,0.00,1930.00,-7.50
05/22/2008,1,-170.00,1760.00,-332.50,1767.50,-162.50
05/23/2008,0,0.00,1760.00,0.00,1760.00,-7.50
05/24/2008,0,0,1760.00,0.00,1760.00,0
05/25/2008,0,0,1760.00,0.00,1760.00,0
05/26/2008,0,0,1760.00,0.00,1760.00,0
05/27/2008,1,75.00,1835.00,157.50,1842.50,82.50
05/28/2008,0,0.00,1835.00,0.00,1835.00,-7.50
05/29/2008,0,0.00,1835.00,0.00,1835.00,0.00
05/30/2008,0,0.00,1835.00,0.00,1835.00,0.00
05/31/2008,0,0,1835.00,0.00,1835.00,0
06/01/2008,0,0,1835.00,0.00,1835.00,0
06/02/2008,0,0.00,1835.00,0.00,1835.00,0.00
06/03/2008,1,-270.00,1565.00,-532.50,1572.50,-262.50
06/04/2008,0,0.00,1565.00,0.00,1565.00,-7.50
06/05/2008,1,445.00,2010.00,897.50,2017.50,452.50
06/06/2008,1,485.00,2495.00,977.50,2502.50,485.00
06/07/2008,0,0,2495.00,492.50,2502.50,0
06/08/2008,0,0,2495.00,492.50,2502.50,0
06/09/2008,0,0.00,2495.00,0.00,2495.00,-7.50
06/10/2008,0,0.00,2495.00,0.00,2495.00,0.00
06/11/2008,0,0.00,2495.00,0.00,2495.00,0.00
06/12/2008,1,-300.00,2195.00,-592.50,2202.50,-292.50
06/13/2008,1,180.00,2375.00,367.50,2382.50,180.00
06/14/2008,0,0,2375.00,187.50,2382.50,0
06/15/2008,0,0,2375.00,187.50,2382.50,0
06/16/2008,0,0.00,2375.00,0.00,2375.00,-7.50
06/17/2008,0,0.00,2375.00,0.00,2375.00,0.00
06/18/2008,0,0.00,2375.00,0.00,2375.00,0.00
06/19/2008,0,0.00,2375.00,0.00,2375.00,0.00
06/20/2008,0,0.00,2375.00,0.00,2375.00,0.00
06/21/2008,0,0,2375.00,0.00,2375.00,0
06/22/2008,0,0,2375.00,0.00,2375.00,0
06/23/2008,0,0.00,2375.00,0.00,2375.00,0.00
06/24/2008,0,0.00,2375.00,0.00,2375.00,0.00
06/25/2008,1,-200.00,2175.00,-392.50,2182.50,-192.50
06/26/2008,1,290.00,2465.00,587.50,2472.50,290.00
06/27/2008,0,0.00,2465.00,0.00,2465.00,-7.50
06/28/2008,0,0,2465.00,0.00,2465.00,0
06/29/2008,0,0,2465.00,0.00,2465.00,0
06/30/2008,0,0.00,2465.00,0.00,2465.00,0.00
07/01/2008,0,0.00,2465.00,0.00,2465.00,0.00
07/02/2008,0,0.00,2465.00,0.00,2465.00,0.00
07/03/2008,0,0.00,2465.00,0.00,2465.00,0.00
07/04/2008,0,0,2465.00,0.00,2465.00,0
07/05/2008,0,0,2465.00,0.00,2465.00,0
07/06/2008,0,0,2465.00,0.00,2465.00,0
07/07/2008,0,0.00,2465.00,0.00,2465.00,0.00
07/08/2008,1,870.00,3335.00,1747.50,3342.50,877.50
07/09/2008,0,0.00,3335.00,0.00,3335.00,-7.50
07/10/2008,1,15.00,3350.00,37.50,3357.50,22.50
07/11/2008,0,0.00,3350.00,0.00,3350.00,-7.50
07/12/2008,0,0,3350.00,0.00,3350.00,0
07/13/2008,0,0,3350.00,0.00,3350.00,0
07/14/2008,0,0.00,3350.00,0.00,3350.00,0.00
07/15/2008,1,-1015.00,2335.00,-1015.00,2335.00,-1015.00
07/16/2008,1,615.00,2950.00,1237.50,2957.50,622.50
07/17/2008,1,-50.00,2900.00,-92.50,2907.50,-50.00
07/18/2008,0,0.00,2900.00,0.00,2900.00,-7.50
07/19/2008,0,0,2900.00,0.00,2900.00,0
07/20/2008,0,0,2900.00,0.00,2900.00,0
07/21/2008,1,190.00,3090.00,387.50,3097.50,197.50
07/22/2008,0,0.00,3090.00,0.00,3090.00,-7.50
07/23/2008,0,0.00,3090.00,0.00,3090.00,0.00
07/24/2008,0,0.00,3090.00,0.00,3090.00,0.00
07/25/2008,1,-365.00,2725.00,-722.50,2732.50,-357.50
07/26/2008,0,0,2725.00,-357.50,2732.50,0
07/27/2008,0,0,2725.00,-357.50,2732.50,0
07/28/2008,0,0.00,2725.00,0.00,2725.00,-7.50
07/29/2008,1,210.00,2935.00,427.50,2942.50,217.50
07/30/2008,1,-135.00,2800.00,-262.50,2807.50,-135.00
07/31/2008,0,0.00,2800.00,0.00,2800.00,-7.50
