Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
01/10/2008,0,0.00,0.00,0.00,0.00,0.00
01/11/2008,1,1807.50,1807.50,1807.50,1807.50,1807.50
01/12/2008,0,0,1807.50,0.00,1807.50,0
01/13/2008,0,0,1807.50,0.00,1807.50,0
01/14/2008,0,0.00,1807.50,0.00,1807.50,0.00
01/15/2008,0,0.00,1807.50,0.00,1807.50,0.00
01/16/2008,0,0.00,1807.50,0.00,1807.50,0.00
01/17/2008,0,0.00,1807.50,-1027.50,780.00,-1027.50
01/18/2008,1,-1867.50,-60.00,-1867.50,-60.00,-840.00
01/19/2008,0,0,-60.00,0.00,-60.00,0
01/20/2008,0,0,-60.00,0.00,-60.00,0
01/21/2008,0,0,-60.00,0.00,-60.00,0
01/22/2008,0,0.00,-60.00,0.00,-60.00,0.00
01/23/2008,0,0.00,-60.00,0.00,-60.00,0.00
01/24/2008,0,0.00,-60.00,0.00,-60.00,0.00
01/25/2008,1,-817.50,-877.50,-817.50,-877.50,-817.50
01/26/2008,0,0,-877.50,0.00,-877.50,0
01/27/2008,0,0,-877.50,0.00,-877.50,0
01/28/2008,0,0.00,-877.50,0.00,-877.50,0.00
01/29/2008,0,0.00,-877.50,0.00,-877.50,0.00
01/30/2008,0,0.00,-877.50,0.00,-877.50,0.00
01/31/2008,0,0.00,-877.50,-215.00,-1092.50,-215.00
02/01/2008,1,232.50,-645.00,232.50,-645.00,447.50
02/02/2008,0,0,-645.00,0.00,-645.00,0
02/03/2008,0,0,-645.00,0.00,-645.00,0
02/04/2008,0,0.00,-645.00,0.00,-645.00,0.00
02/05/2008,0,0.00,-645.00,0.00,-645.00,0.00
02/06/2008,0,0.00,-645.00,0.00,-645.00,0.00
02/07/2008,0,0.00,-645.00,335.00,-310.00,335.00
02/08/2008,1,1807.50,1162.50,1807.50,1162.50,1472.50
02/09/2008,0,0,1162.50,0.00,1162.50,0
