Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
01/24/2008,1,-80.00,-80.00,-80.00,-80.00,-80.00
01/25/2008,1,580.00,500.00,1175.00,515.00,595.00
01/26/2008,0,0,500.00,595.00,515.00,0
01/27/2008,0,0.00,500.00,0.00,500.00,-15.00
01/28/2008,0,0.00,500.00,0.00,500.00,0.00
01/29/2008,0,0.00,500.00,0.00,500.00,0.00
01/30/2008,1,-400.00,100.00,-400.00,100.00,-400.00
01/31/2008,1,-190.00,-90.00,-190.00,-90.00,-190.00
02/01/2008,0,0.00,-90.00,0.00,-90.00,0.00
02/02/2008,0,0,-90.00,0.00,-90.00,0
02/03/2008,0,0.00,-90.00,0.00,-90.00,0.00
02/04/2008,0,0.00,-90.00,0.00,-90.00,0.00
02/05/2008,1,-230.00,-320.00,-230.00,-320.00,-230.00
02/06/2008,1,-30.00,-350.00,-30.00,-350.00,-30.00
02/07/2008,0,0.00,-350.00,0.00,-350.00,0.00
02/08/2008,1,3060.00,2710.00,6135.00,2725.00,3075.00
02/09/2008,0,0,2710.00,3075.00,2725.00,0
02/10/2008,0,0.00,2710.00,0.00,2710.00,-15.00
02/11/2008,0,0.00,2710.00,0.00,2710.00,0.00
02/12/2008,0,0.00,2710.00,0.00,2710.00,0.00
02/13/2008,0,0.00,2710.00,0.00,2710.00,0.00
02/14/2008,1,1360.00,4070.00,1360.00,4070.00,1360.00
02/15/2008,0,0.00,4070.00,0.00,4070.00,0.00
02/16/2008,0,0,4070.00,0.00,4070.00,0
02/17/2008,0,0.00,4070.00,0.00,4070.00,0.00
02/18/2008,0,0.00,4070.00,0.00,4070.00,0.00
02/19/2008,1,3170.00,7240.00,3170.00,7240.00,3170.00
02/20/2008,0,0.00,7240.00,0.00,7240.00,0.00
02/21/2008,0,0.00,7240.00,0.00,7240.00,0.00
02/22/2008,0,0.00,7240.00,0.00,7240.00,0.00
02/23/2008,0,0,7240.00,0.00,7240.00,0
02/24/2008,0,0.00,7240.00,0.00,7240.00,0.00
02/25/2008,0,0.00,7240.00,0.00,7240.00,0.00
02/26/2008,0,0.00,7240.00,0.00,7240.00,0.00
02/27/2008,0,0.00,7240.00,0.00,7240.00,0.00
02/28/2008,0,0.00,7240.00,0.00,7240.00,0.00
02/29/2008,0,0.00,7240.00,0.00,7240.00,0.00
03/01/2008,0,0,7240.00,0.00,7240.00,0
03/02/2008,0,0.00,7240.00,0.00,7240.00,0.00
03/03/2008,0,0.00,7240.00,0.00,7240.00,0.00
03/04/2008,0,0.00,7240.00,0.00,7240.00,0.00
03/05/2008,0,0.00,7240.00,0.00,7240.00,0.00
03/06/2008,0,0.00,7240.00,0.00,7240.00,0.00
03/07/2008,0,0.00,7240.00,0.00,7240.00,0.00
03/08/2008,0,0,7240.00,0.00,7240.00,0
03/09/2008,0,0.00,7240.00,0.00,7240.00,0.00
03/10/2008,0,0.00,7240.00,0.00,7240.00,0.00
03/11/2008,0,0.00,7240.00,0.00,7240.00,0.00
03/12/2008,0,0.00,7240.00,0.00,7240.00,0.00
03/13/2008,0,0.00,7240.00,0.00,7240.00,0.00
03/14/2008,0,0.00,7240.00,0.00,7240.00,0.00
03/15/2008,0,0,7240.00,0.00,7240.00,0
03/16/2008,0,0.00,7240.00,0.00,7240.00,0.00
03/17/2008,0,0.00,7240.00,0.00,7240.00,0.00
03/18/2008,0,0.00,7240.00,0.00,7240.00,0.00
03/19/2008,1,1200.00,8440.00,1200.00,8440.00,1200.00
03/20/2008,0,0.00,8440.00,0.00,8440.00,0.00
03/21/2008,0,0,8440.00,0.00,8440.00,0
03/22/2008,0,0,8440.00,0.00,8440.00,0
03/23/2008,0,0.00,8440.00,0.00,8440.00,0.00
03/24/2008,0,0.00,8440.00,0.00,8440.00,0.00
03/25/2008,0,0.00,8440.00,0.00,8440.00,0.00
03/26/2008,0,0.00,8440.00,0.00,8440.00,0.00
03/27/2008,0,0.00,8440.00,0.00,8440.00,0.00
03/28/2008,1,10.00,8450.00,35.00,8465.00,25.00
03/29/2008,0,0,8450.00,25.00,8465.00,0
03/30/2008,0,0.00,8450.00,0.00,8450.00,-15.00
03/31/2008,0,0.00,8450.00,0.00,8450.00,0.00
04/01/2008,0,0.00,8450.00,0.00,8450.00,0.00
04/02/2008,1,2070.00,10520.00,2070.00,10520.00,2070.00
04/03/2008,0,0.00,10520.00,0.00,10520.00,0.00
04/04/2008,0,0.00,10520.00,0.00,10520.00,0.00
04/05/2008,0,0,10520.00,0.00,10520.00,0
04/06/2008,0,0.00,10520.00,0.00,10520.00,0.00
04/07/2008,0,0.00,10520.00,0.00,10520.00,0.00
04/08/2008,0,0.00,10520.00,0.00,10520.00,0.00
04/09/2008,1,-690.00,9830.00,-690.00,9830.00,-690.00
04/10/2008,0,0.00,9830.00,0.00,9830.00,0.00
04/11/2008,0,0.00,9830.00,0.00,9830.00,0.00
04/12/2008,0,0,9830.00,0.00,9830.00,0
04/13/2008,0,0.00,9830.00,0.00,9830.00,0.00
04/14/2008,0,0.00,9830.00,0.00,9830.00,0.00
04/15/2008,0,0.00,9830.00,0.00,9830.00,0.00
04/16/2008,1,-1330.00,8500.00,-1330.00,8500.00,-1330.00
04/17/2008,0,0.00,8500.00,0.00,8500.00,0.00
04/18/2008,0,0.00,8500.00,0.00,8500.00,0.00
04/19/2008,0,0,8500.00,0.00,8500.00,0
04/20/2008,0,0.00,8500.00,0.00,8500.00,0.00
04/21/2008,0,0.00,8500.00,0.00,8500.00,0.00
04/22/2008,0,0.00,8500.00,0.00,8500.00,0.00
04/23/2008,0,0.00,8500.00,0.00,8500.00,0.00
04/24/2008,0,0.00,8500.00,0.00,8500.00,0.00
04/25/2008,0,0.00,8500.00,0.00,8500.00,0.00
04/26/2008,0,0,8500.00,0.00,8500.00,0
04/27/2008,0,0.00,8500.00,0.00,8500.00,0.00
04/28/2008,0,0.00,8500.00,0.00,8500.00,0.00
04/29/2008,1,2330.00,10830.00,2330.00,10830.00,2330.00
