Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
07/21/2008,0,0.00,0.00,0.00,0.00,0.00
07/22/2008,1,-310.80,-310.80,-310.80,-310.80,-310.80
07/23/2008,0,0.00,-310.80,0.00,-310.80,0.00
07/24/2008,0,0.00,-310.80,0.00,-310.80,0.00
07/25/2008,0,0.00,-310.80,0.00,-310.80,0.00
07/26/2008,0,0,-310.80,0.00,-310.80,0
07/27/2008,0,0,-310.80,0.00,-310.80,0
07/28/2008,0,0.00,-310.80,0.00,-310.80,0.00
07/29/2008,0,0.00,-310.80,0.00,-310.80,0.00
07/30/2008,0,0.00,-310.80,0.00,-310.80,0.00
07/31/2008,0,0.00,-310.80,0.00,-310.80,0.00
08/01/2008,0,0.00,-310.80,0.00,-310.80,0.00
08/02/2008,0,0,-310.80,0.00,-310.80,0
08/03/2008,0,0,-310.80,0.00,-310.80,0
08/04/2008,0,0.00,-310.80,0.00,-310.80,0.00
08/05/2008,0,0.00,-310.80,0.00,-310.80,0.00
08/06/2008,0,0.00,-310.80,0.00,-310.80,0.00
08/07/2008,0,0.00,-310.80,0.00,-310.80,0.00
08/08/2008,0,0.00,-310.80,0.00,-310.80,0.00
08/09/2008,0,0,-310.80,0.00,-310.80,0
08/10/2008,0,0,-310.80,0.00,-310.80,0
08/11/2008,0,0.00,-310.80,0.00,-310.80,0.00
08/12/2008,1,-1180.20,-1491.00,-1180.20,-1491.00,-1180.20
08/13/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
08/14/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
08/15/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
08/16/2008,0,0,-1491.00,0.00,-1491.00,0
08/17/2008,0,0,-1491.00,0.00,-1491.00,0
08/18/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
08/19/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
08/20/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
08/21/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
08/22/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
08/23/2008,0,0,-1491.00,0.00,-1491.00,0
08/24/2008,0,0,-1491.00,0.00,-1491.00,0
08/25/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
08/26/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
08/27/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
08/28/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
08/29/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
08/30/2008,0,0,-1491.00,0.00,-1491.00,0
08/31/2008,0,0,-1491.00,0.00,-1491.00,0
09/01/2008,0,0,-1491.00,0.00,-1491.00,0
09/02/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/03/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/04/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/05/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/06/2008,0,0,-1491.00,0.00,-1491.00,0
09/07/2008,0,0,-1491.00,0.00,-1491.00,0
09/08/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/09/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/10/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/11/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/12/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/13/2008,0,0,-1491.00,0.00,-1491.00,0
09/14/2008,0,0,-1491.00,0.00,-1491.00,0
09/15/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/16/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/17/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/18/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/19/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/20/2008,0,0,-1491.00,0.00,-1491.00,0
09/21/2008,0,0,-1491.00,0.00,-1491.00,0
09/22/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/23/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/24/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/25/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/26/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/27/2008,0,0,-1491.00,0.00,-1491.00,0
09/28/2008,0,0,-1491.00,0.00,-1491.00,0
09/29/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
09/30/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
10/01/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
10/02/2008,0,0.00,-1491.00,0.00,-1491.00,0.00
10/03/2008,1,-420.00,-1911.00,-420.00,-1911.00,-420.00
10/04/2008,0,0,-1911.00,0.00,-1911.00,0
10/05/2008,0,0,-1911.00,0.00,-1911.00,0
10/06/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
10/07/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
10/08/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
10/09/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
10/10/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
10/11/2008,0,0,-1911.00,0.00,-1911.00,0
10/12/2008,0,0,-1911.00,0.00,-1911.00,0
10/13/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
10/14/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
10/15/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
10/16/2008,1,0.00,-1911.00,0.00,-1911.00,0.00
10/17/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
10/18/2008,0,0,-1911.00,0.00,-1911.00,0
10/19/2008,0,0,-1911.00,0.00,-1911.00,0
10/20/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
10/21/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
10/22/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
10/23/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
10/24/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
10/25/2008,0,0,-1911.00,0.00,-1911.00,0
10/26/2008,0,0,-1911.00,0.00,-1911.00,0
10/27/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
10/28/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
10/29/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
10/30/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
10/31/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
11/01/2008,0,0,-1911.00,0.00,-1911.00,0
11/02/2008,0,0,-1911.00,0.00,-1911.00,0
11/03/2008,0,0.00,-1911.00,0.00,-1911.00,0.00
