Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
01/25/2010,1,2081.20,2081.20,1401.90,1401.90,1401.90
01/26/2010,0,0.00,2081.20,-1263.10,818.10,-583.80
01/27/2010,0,0.00,2081.20,-2380.30,-299.10,-1117.20
01/28/2010,0,0.00,2081.20,-3136.30,-1055.10,-756.00
01/29/2010,0,0.00,2081.20,-4022.50,-1941.30,-886.20
01/30/2010,0,0,2081.20,-4022.50,-1941.30,0
01/31/2010,0,0.00,2081.20,-4253.50,-2172.30,-231.00
02/01/2010,0,0.00,2081.20,-2842.30,-761.10,1411.20
02/02/2010,0,0.00,2081.20,358.10,2439.30,3200.40
02/03/2010,0,0.00,2081.20,782.30,2863.50,424.20
02/04/2010,0,0.00,2081.20,-2703.70,-622.50,-3486.00
02/05/2010,0,0.00,2081.20,-4350.10,-2268.90,-1646.40
02/06/2010,0,0,2081.20,-4350.10,-2268.90,0
02/07/2010,0,0.00,2081.20,-4870.90,-2789.70,-520.80
02/08/2010,0,0.00,2081.20,-5055.70,-2974.50,-184.80
02/09/2010,0,0.00,2081.20,-3753.70,-1672.50,1302.00
02/10/2010,0,0.00,2081.20,-3052.30,-971.10,701.40
02/11/2010,0,0.00,2081.20,-3375.70,-1294.50,-323.40
02/12/2010,1,-4949.60,-2868.40,-6544.50,-4463.30,-3168.80
02/13/2010,0,0,-2868.40,-1594.90,-4463.30,0
02/14/2010,0,0.00,-2868.40,-1720.90,-4589.30,-126.00
02/15/2010,0,0.00,-2868.40,-1397.50,-4265.90,323.40
02/16/2010,0,0.00,-2868.40,-4471.90,-7340.30,-3074.40
02/17/2010,0,0.00,-2868.40,-4602.10,-7470.50,-130.20
02/18/2010,0,0.00,-2868.40,-6433.30,-9301.70,-1831.20
02/19/2010,0,0.00,-2868.40,-8415.70,-11284.10,-1982.40
02/20/2010,0,0,-2868.40,-8415.70,-11284.10,0
02/21/2010,0,0.00,-2868.40,-8974.30,-11842.70,-558.60
02/22/2010,0,0.00,-2868.40,-9461.50,-12329.90,-487.20
02/23/2010,0,0.00,-2868.40,-7647.10,-10515.50,1814.40
02/24/2010,0,0.00,-2868.40,-8512.30,-11380.70,-865.20
02/25/2010,0,0.00,-2868.40,-6706.30,-9574.70,1806.00
02/26/2010,0,0.00,-2868.40,-7878.10,-10746.50,-1171.80
02/27/2010,0,0,-2868.40,-7878.10,-10746.50,0
02/28/2010,0,0.00,-2868.40,-8398.90,-11267.30,-520.80
03/01/2010,0,0.00,-2868.40,-6828.10,-9696.50,1570.80
03/02/2010,1,-9204.20,-12072.60,-10316.10,-13184.50,-3488.00
03/03/2010,0,0.00,-12072.60,962.90,-11109.70,2074.80
03/04/2010,0,0.00,-12072.60,1177.10,-10895.50,214.20
03/05/2010,0,0.00,-12072.60,2500.10,-9572.50,1323.00
03/06/2010,0,0,-12072.60,2500.10,-9572.50,0
03/07/2010,0,0.00,-12072.60,2894.90,-9177.70,394.80
03/08/2010,0,0.00,-12072.60,2239.70,-9832.90,-655.20
03/09/2010,1,2026.60,-10046.00,1893.30,-10179.30,-346.40
03/10/2010,1,-716.00,-10762.00,-1202.10,-11248.10,-1068.80
03/11/2010,0,0.00,-10762.00,-309.70,-11071.70,176.40
03/12/2010,0,0.00,-10762.00,-1124.50,-11886.50,-814.80
03/13/2010,0,0,-10762.00,-1124.50,-11886.50,0
03/14/2010,0,0.00,-10762.00,-1523.50,-12285.50,-399.00
03/15/2010,0,0.00,-10762.00,-2712.10,-13474.10,-1188.60
03/16/2010,0,0.00,-10762.00,-15.70,-10777.70,2696.40
03/17/2010,0,0.00,-10762.00,664.70,-10097.30,680.40
03/18/2010,0,0.00,-10762.00,526.10,-10235.90,-138.60
03/19/2010,1,-191.00,-10953.00,616.50,-10145.50,90.40
03/20/2010,0,0,-10953.00,807.50,-10145.50,0
03/21/2010,0,0.00,-10953.00,1458.50,-9494.50,651.00
03/22/2010,0,0.00,-10953.00,946.10,-10006.90,-512.40
03/23/2010,0,0.00,-10953.00,1592.90,-9360.10,646.80
03/24/2010,0,0.00,-10953.00,2445.50,-8507.50,852.60
03/25/2010,0,0.00,-10953.00,2445.50,-8507.50,0.00
03/26/2010,1,1783.00,-9170.00,771.90,-10181.10,-1673.60
03/27/2010,0,0,-9170.00,-1011.10,-10181.10,0
03/28/2010,0,0.00,-9170.00,-834.70,-10004.70,176.40
03/29/2010,0,0.00,-9170.00,1034.30,-8135.70,1869.00
03/30/2010,0,0.00,-9170.00,1231.70,-7938.30,197.40
03/31/2010,0,0.00,-9170.00,2487.50,-6682.50,1255.80
04/01/2010,0,0.00,-9170.00,4066.70,-5103.30,1579.20
04/02/2010,0,0,-9170.00,4066.70,-5103.30,0
04/03/2010,0,0,-9170.00,4066.70,-5103.30,0
04/04/2010,0,0.00,-9170.00,4423.70,-4746.30,357.00
04/05/2010,0,0.00,-9170.00,4369.10,-4800.90,-54.60
04/06/2010,0,0.00,-9170.00,4885.70,-4284.30,516.60
04/07/2010,1,3971.20,-5198.80,4778.70,-4391.30,-107.00
04/08/2010,0,0.00,-5198.80,1185.50,-4013.30,378.00
04/09/2010,0,0.00,-5198.80,1815.50,-3383.30,630.00
04/10/2010,0,0,-5198.80,1815.50,-3383.30,0
04/11/2010,0,0.00,-5198.80,1290.50,-3908.30,-525.00
04/12/2010,1,569.20,-4629.60,-236.10,-5434.90,-1526.60
04/13/2010,0,0.00,-4629.60,-637.30,-5266.90,168.00
04/14/2010,0,0.00,-4629.60,601.70,-4027.90,1239.00
04/15/2010,0,0.00,-4629.60,-469.30,-5098.90,-1071.00
04/16/2010,0,0.00,-4629.60,-1876.30,-6505.90,-1407.00
04/17/2010,0,0,-4629.60,-1876.30,-6505.90,0
04/18/2010,0,0.00,-4629.60,-2964.10,-7593.70,-1087.80
04/19/2010,0,0.00,-4629.60,-2409.70,-7039.30,554.40
