Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
01/08/2009,1,1533.60,1533.60,1533.60,1533.60,1533.60
01/09/2009,0,0.00,1533.60,-360.90,1172.70,-360.90
01/10/2009,0,0,1533.60,-360.90,1172.70,0
01/11/2009,1,-482.40,1051.20,-482.40,1051.20,-121.50
01/12/2009,0,0.00,1051.20,0.00,1051.20,0.00
01/13/2009,0,0.00,1051.20,0.00,1051.20,0.00
01/14/2009,1,609.60,1660.80,609.60,1660.80,609.60
01/15/2009,1,-1587.00,73.80,-1587.00,73.80,-1587.00
01/16/2009,0,0.00,73.80,-1268.10,-1194.30,-1268.10
01/17/2009,0,0,73.80,-1268.10,-1194.30,0
01/18/2009,0,0.00,73.80,-1079.10,-1005.30,189.00
01/19/2009,1,-37.20,36.60,101.70,175.50,1180.80
01/20/2009,2,-2514.60,-2478.00,-2514.60,-2478.00,-2653.50
01/21/2009,0,0.00,-2478.00,273.30,-2204.70,273.30
01/22/2009,1,-1570.20,-4048.20,-1570.20,-4048.20,-1843.50
01/23/2009,0,0.00,-4048.20,2012.10,-2036.10,2012.10
01/24/2009,0,0,-4048.20,2012.10,-2036.10,0
01/25/2009,0,0.00,-4048.20,1802.10,-2246.10,-210.00
01/26/2009,1,4435.80,387.60,4435.80,387.60,2633.70
01/27/2009,0,0.00,387.60,-243.30,144.30,-243.30
01/28/2009,1,38.40,426.00,38.40,426.00,281.70
01/29/2009,0,0.00,426.00,0.00,426.00,0.00
01/30/2009,0,0.00,426.00,0.00,426.00,0.00
01/31/2009,0,0,426.00,0.00,426.00,0
02/01/2009,0,0.00,426.00,0.00,426.00,0.00
02/02/2009,0,0.00,426.00,0.00,426.00,0.00
02/03/2009,0,0.00,426.00,0.00,426.00,0.00
02/04/2009,0,0.00,426.00,0.00,426.00,0.00
02/05/2009,0,0.00,426.00,0.00,426.00,0.00
02/06/2009,0,0.00,426.00,0.00,426.00,0.00
02/07/2009,0,0,426.00,0.00,426.00,0
02/08/2009,0,0.00,426.00,0.00,426.00,0.00
02/09/2009,0,0.00,426.00,0.00,426.00,0.00
02/10/2009,0,0.00,426.00,0.00,426.00,0.00
02/11/2009,1,-1570.20,-1144.20,-2619.90,-2193.90,-2619.90
02/12/2009,1,-1587.00,-2731.20,-1002.90,-2147.10,46.80
02/13/2009,1,4419.00,1687.80,4419.00,1687.80,3834.90
02/14/2009,0,0,1687.80,0.00,1687.80,0
02/15/2009,0,0.00,1687.80,0.00,1687.80,0.00
02/16/2009,0,0.00,1687.80,-352.50,1335.30,-352.50
02/17/2009,1,2088.00,3775.80,2861.10,4548.90,3213.60
02/18/2009,1,1802.40,5578.20,1521.30,5297.10,748.20
02/19/2009,2,-616.20,4962.00,-616.20,4962.00,-335.10
02/20/2009,1,-1587.00,3375.00,-1587.00,3375.00,-1587.00
02/21/2009,0,0,3375.00,0.00,3375.00,0
02/22/2009,0,0.00,3375.00,0.00,3375.00,0.00
02/23/2009,0,0.00,3375.00,558.90,3933.90,558.90
02/24/2009,1,-1587.00,1788.00,-1587.00,1788.00,-2145.90
02/25/2009,0,0.00,1788.00,0.00,1788.00,0.00
02/26/2009,0,0.00,1788.00,0.00,1788.00,0.00
02/27/2009,0,0.00,1788.00,0.00,1788.00,0.00
02/28/2009,0,0,1788.00,0.00,1788.00,0
03/01/2009,0,0.00,1788.00,0.00,1788.00,0.00
03/02/2009,0,0.00,1788.00,96.90,1884.90,96.90
03/03/2009,1,-3.60,1784.40,-3.60,1784.40,-100.50
03/04/2009,0,0.00,1784.40,0.00,1784.40,0.00
03/05/2009,0,0.00,1784.40,0.00,1784.40,0.00
03/06/2009,1,-1587.00,197.40,-1788.30,-3.90,-1788.30
03/07/2009,0,0,197.40,-201.30,-3.90,0
03/08/2009,0,0.00,197.40,626.10,823.50,827.40
03/09/2009,1,-1570.20,-1372.80,-1570.20,-1372.80,-2196.30
