Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
12/31/2007,0,0.00,-1275.00,-525.00,-1800.00,-412.50
01/01/2008,0,0,-1275.00,-525.00,-1800.00,0
01/02/2008,0,0.00,-1275.00,-1462.50,-2737.50,-937.50
01/03/2008,0,0.00,-1275.00,-1450.00,-2725.00,12.50
01/04/2008,1,-3525.00,-4800.00,-3525.00,-4800.00,-2075.00
01/05/2008,0,0,-4800.00,0.00,-4800.00,0
01/06/2008,0,0,-4800.00,0.00,-4800.00,0
01/07/2008,0,0.00,-4800.00,0.00,-4800.00,0.00
01/08/2008,0,0.00,-4800.00,0.00,-4800.00,0.00
01/09/2008,0,0.00,-4800.00,0.00,-4800.00,0.00
01/10/2008,0,0.00,-4800.00,0.00,-4800.00,0.00
01/11/2008,0,0.00,-4800.00,0.00,-4800.00,0.00
01/12/2008,0,0,-4800.00,0.00,-4800.00,0
01/13/2008,0,0,-4800.00,0.00,-4800.00,0
01/14/2008,0,0.00,-4800.00,0.00,-4800.00,0.00
01/15/2008,0,0.00,-4800.00,0.00,-4800.00,0.00
01/16/2008,0,0.00,-4800.00,0.00,-4800.00,0.00
01/17/2008,0,0.00,-4800.00,0.00,-4800.00,0.00
01/18/2008,0,0.00,-4800.00,0.00,-4800.00,0.00
01/19/2008,0,0,-4800.00,0.00,-4800.00,0
01/20/2008,0,0,-4800.00,0.00,-4800.00,0
01/21/2008,0,0,-4800.00,0.00,-4800.00,0
01/22/2008,0,0.00,-4800.00,0.00,-4800.00,0.00
01/23/2008,0,0.00,-4800.00,0.00,-4800.00,0.00
01/24/2008,0,0.00,-4800.00,0.00,-4800.00,0.00
01/25/2008,0,0.00,-4800.00,0.00,-4800.00,0.00
01/26/2008,0,0,-4800.00,0.00,-4800.00,0
01/27/2008,0,0,-4800.00,0.00,-4800.00,0
01/28/2008,0,0.00,-4800.00,0.00,-4800.00,0.00
01/29/2008,0,0.00,-4800.00,0.00,-4800.00,0.00
01/30/2008,0,0.00,-4800.00,537.50,-4262.50,537.50
01/31/2008,0,0.00,-4800.00,-912.50,-5712.50,-1450.00
02/01/2008,0,0.00,-4800.00,-1787.50,-6587.50,-875.00
02/02/2008,0,0,-4800.00,-1787.50,-6587.50,0
02/03/2008,0,0,-4800.00,-1787.50,-6587.50,0
02/04/2008,0,0.00,-4800.00,-875.00,-5675.00,912.50
02/05/2008,0,0.00,-4800.00,900.00,-3900.00,1775.00
02/06/2008,0,0.00,-4800.00,1562.50,-3237.50,662.50
02/07/2008,0,0.00,-4800.00,1050.00,-3750.00,-512.50
02/08/2008,0,0.00,-4800.00,1550.00,-3250.00,500.00
02/09/2008,0,0,-4800.00,1550.00,-3250.00,0
02/10/2008,0,0,-4800.00,1550.00,-3250.00,0
02/11/2008,0,0.00,-4800.00,1150.00,-3650.00,-400.00
02/12/2008,0,0.00,-4800.00,575.00,-4225.00,-575.00
02/13/2008,0,0.00,-4800.00,-125.00,-4925.00,-700.00
02/14/2008,0,0.00,-4800.00,512.50,-4287.50,637.50
02/15/2008,0,0.00,-4800.00,500.00,-4300.00,-12.50
02/16/2008,0,0,-4800.00,500.00,-4300.00,0
02/17/2008,0,0,-4800.00,500.00,-4300.00,0
