Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
10/13/2009,1,-1160.00,-1160.00,-1160.00,-1160.00,-1160.00
10/14/2009,0,0.00,-1160.00,0.00,-1160.00,0.00
10/15/2009,0,0.00,-1160.00,0.00,-1160.00,0.00
10/16/2009,0,0.00,-1160.00,0.00,-1160.00,0.00
10/17/2009,0,0,-1160.00,0.00,-1160.00,0
10/18/2009,0,0.00,-1160.00,0.00,-1160.00,0.00
10/19/2009,1,-1160.00,-2320.00,-1160.00,-2320.00,-1160.00
10/20/2009,0,0.00,-2320.00,0.00,-2320.00,0.00
10/21/2009,0,0.00,-2320.00,180.00,-2140.00,180.00
10/22/2009,1,-120.00,-2440.00,-460.00,-2780.00,-640.00
10/23/2009,1,-1160.00,-3600.00,-1160.00,-3600.00,-820.00
10/24/2009,0,0,-3600.00,0.00,-3600.00,0
10/25/2009,0,0.00,-3600.00,0.00,-3600.00,0.00
10/26/2009,0,0.00,-3600.00,0.00,-3600.00,0.00
10/27/2009,0,0.00,-3600.00,-230.00,-3830.00,-230.00
10/28/2009,1,-1160.00,-4760.00,-1160.00,-4760.00,-930.00
10/29/2009,0,0.00,-4760.00,0.00,-4760.00,0.00
10/30/2009,0,0.00,-4760.00,0.00,-4760.00,0.00
10/31/2009,0,0,-4760.00,0.00,-4760.00,0
11/01/2009,0,0.00,-4760.00,0.00,-4760.00,0.00
11/02/2009,0,0.00,-4760.00,1630.00,-3130.00,1630.00
11/03/2009,1,3440.00,-1320.00,3440.00,-1320.00,1810.00
11/04/2009,0,0.00,-1320.00,0.00,-1320.00,0.00
11/05/2009,0,0.00,-1320.00,0.00,-1320.00,0.00
11/06/2009,0,0.00,-1320.00,250.00,-1070.00,250.00
11/07/2009,0,0,-1320.00,250.00,-1070.00,0
11/08/2009,0,0.00,-1320.00,860.00,-460.00,610.00
11/09/2009,0,0.00,-1320.00,980.00,-340.00,120.00
11/10/2009,0,0.00,-1320.00,1430.00,110.00,450.00
11/11/2009,0,0.00,-1320.00,2860.00,1540.00,1430.00
11/12/2009,0,0.00,-1320.00,1220.00,-100.00,-1640.00
11/13/2009,0,0.00,-1320.00,2610.00,1290.00,1390.00
11/14/2009,0,0,-1320.00,2610.00,1290.00,0
11/15/2009,1,3440.00,2120.00,3440.00,2120.00,830.00
11/16/2009,0,0.00,2120.00,0.00,2120.00,0.00
11/17/2009,0,0.00,2120.00,0.00,2120.00,0.00
