Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
12/31/2007,0,0.00,4730.00,0.00,4730.00,0.00
01/01/2008,0,0,4730.00,0.00,4730.00,0
01/02/2008,0,0.00,4730.00,-977.50,3752.50,-977.50
01/03/2008,0,0.00,4730.00,-942.50,3787.50,35.00
01/04/2008,0,0.00,4730.00,-2222.50,2507.50,-1280.00
01/05/2008,0,0,4730.00,-2222.50,2507.50,0
01/06/2008,0,0,4730.00,-2222.50,2507.50,0
01/07/2008,1,-2745.00,1985.00,-2745.00,1985.00,-522.50
01/08/2008,0,0.00,1985.00,0.00,1985.00,0.00
01/09/2008,0,0.00,1985.00,0.00,1985.00,0.00
01/10/2008,0,0.00,1985.00,0.00,1985.00,0.00
01/11/2008,0,0.00,1985.00,0.00,1985.00,0.00
01/12/2008,0,0,1985.00,0.00,1985.00,0
01/13/2008,0,0,1985.00,0.00,1985.00,0
01/14/2008,0,0.00,1985.00,0.00,1985.00,0.00
01/15/2008,0,0.00,1985.00,0.00,1985.00,0.00
01/16/2008,0,0.00,1985.00,0.00,1985.00,0.00
01/17/2008,0,0.00,1985.00,0.00,1985.00,0.00
01/18/2008,0,0.00,1985.00,0.00,1985.00,0.00
01/19/2008,0,0,1985.00,0.00,1985.00,0
01/20/2008,0,0,1985.00,0.00,1985.00,0
01/21/2008,0,0,1985.00,0.00,1985.00,0
01/22/2008,0,0.00,1985.00,0.00,1985.00,0.00
01/23/2008,0,0.00,1985.00,0.00,1985.00,0.00
01/24/2008,0,0.00,1985.00,0.00,1985.00,0.00
01/25/2008,0,0.00,1985.00,0.00,1985.00,0.00
01/26/2008,0,0,1985.00,0.00,1985.00,0
01/27/2008,0,0,1985.00,0.00,1985.00,0
01/28/2008,0,0.00,1985.00,0.00,1985.00,0.00
01/29/2008,0,0.00,1985.00,0.00,1985.00,0.00
01/30/2008,0,0.00,1985.00,0.00,1985.00,0.00
01/31/2008,0,0.00,1985.00,0.00,1985.00,0.00
02/01/2008,0,0.00,1985.00,-297.50,1687.50,-297.50
02/02/2008,0,0,1985.00,-297.50,1687.50,0
02/03/2008,0,0,1985.00,-297.50,1687.50,0
02/04/2008,0,0.00,1985.00,402.50,2387.50,700.00
02/05/2008,0,0.00,1985.00,1872.50,3857.50,1470.00
02/06/2008,1,1790.00,3775.00,1790.00,3775.00,-82.50
02/07/2008,0,0.00,3775.00,0.00,3775.00,0.00
02/08/2008,0,0.00,3775.00,0.00,3775.00,0.00
02/09/2008,0,0,3775.00,0.00,3775.00,0
02/10/2008,0,0,3775.00,0.00,3775.00,0
02/11/2008,0,0.00,3775.00,317.50,4092.50,317.50
02/12/2008,0,0.00,3775.00,1092.50,4867.50,775.00
02/13/2008,1,1390.00,5165.00,1390.00,5165.00,297.50
02/14/2008,0,0.00,5165.00,0.00,5165.00,0.00
02/15/2008,0,0.00,5165.00,0.00,5165.00,0.00
02/16/2008,0,0,5165.00,0.00,5165.00,0
02/17/2008,0,0,5165.00,0.00,5165.00,0
02/18/2008,0,0,5165.00,0.00,5165.00,0
02/19/2008,0,0.00,5165.00,-487.50,4677.50,-487.50
02/20/2008,0,0.00,5165.00,-292.50,4872.50,195.00
02/21/2008,1,-85.00,5080.00,-85.00,5080.00,207.50
02/22/2008,0,0.00,5080.00,0.00,5080.00,0.00
02/23/2008,0,0,5080.00,0.00,5080.00,0
02/24/2008,0,0,5080.00,0.00,5080.00,0
02/25/2008,0,0.00,5080.00,0.00,5080.00,0.00
02/26/2008,0,0.00,5080.00,-512.50,4567.50,-512.50
02/27/2008,0,0.00,5080.00,-497.50,4582.50,15.00
02/28/2008,0,0.00,5080.00,77.50,5157.50,575.00
02/29/2008,0,0.00,5080.00,1427.50,6507.50,1350.00
03/01/2008,0,0,5080.00,1427.50,6507.50,0
03/02/2008,0,0,5080.00,1427.50,6507.50,0
03/03/2008,1,1705.00,6785.00,1705.00,6785.00,277.50
03/04/2008,0,0.00,6785.00,0.00,6785.00,0.00
03/05/2008,0,0.00,6785.00,0.00,6785.00,0.00
03/06/2008,0,0.00,6785.00,0.00,6785.00,0.00
03/07/2008,0,0.00,6785.00,-257.50,6527.50,-257.50
03/08/2008,0,0,6785.00,-257.50,6527.50,0
03/09/2008,0,0,6785.00,-257.50,6527.50,0
03/10/2008,0,0.00,6785.00,-817.50,5967.50,-560.00
03/11/2008,0,0.00,6785.00,1237.50,8022.50,2055.00
03/12/2008,1,1235.00,8020.00,1235.00,8020.00,-2.50
03/13/2008,0,0.00,8020.00,0.00,8020.00,0.00
03/14/2008,0,0.00,8020.00,0.00,8020.00,0.00
03/15/2008,0,0,8020.00,0.00,8020.00,0
03/16/2008,0,0,8020.00,0.00,8020.00,0
03/17/2008,0,0.00,8020.00,0.00,8020.00,0.00
03/18/2008,0,0.00,8020.00,0.00,8020.00,0.00
03/19/2008,0,0.00,8020.00,1532.50,9552.50,1532.50
03/20/2008,0,0.00,8020.00,487.50,8507.50,-1045.00
03/21/2008,0,0,8020.00,487.50,8507.50,0
03/22/2008,0,0,8020.00,487.50,8507.50,0
03/23/2008,0,0,8020.00,487.50,8507.50,0
03/24/2008,0,0.00,8020.00,-572.50,7447.50,-1060.00
03/25/2008,0,0.00,8020.00,-447.50,7572.50,125.00
03/26/2008,0,0.00,8020.00,212.50,8232.50,660.00
