Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
12/31/2007,0,0.00,28600.00,0.00,28600.00,0.00
01/01/2008,0,0,28600.00,0.00,28600.00,0
01/02/2008,0,0.00,28600.00,-887.50,27712.50,-887.50
01/03/2008,0,0.00,28600.00,-875.00,27725.00,12.50
01/04/2008,1,-2837.50,25762.50,-2837.50,25762.50,-1962.50
01/05/2008,0,0,25762.50,0.00,25762.50,0
01/06/2008,0,0,25762.50,0.00,25762.50,0
01/07/2008,0,0.00,25762.50,0.00,25762.50,0.00
01/08/2008,0,0.00,25762.50,0.00,25762.50,0.00
01/09/2008,0,0.00,25762.50,0.00,25762.50,0.00
01/10/2008,0,0.00,25762.50,0.00,25762.50,0.00
01/11/2008,0,0.00,25762.50,0.00,25762.50,0.00
01/12/2008,0,0,25762.50,0.00,25762.50,0
01/13/2008,0,0,25762.50,0.00,25762.50,0
01/14/2008,0,0.00,25762.50,0.00,25762.50,0.00
01/15/2008,0,0.00,25762.50,0.00,25762.50,0.00
01/16/2008,0,0.00,25762.50,0.00,25762.50,0.00
01/17/2008,0,0.00,25762.50,0.00,25762.50,0.00
01/18/2008,0,0.00,25762.50,0.00,25762.50,0.00
01/19/2008,0,0,25762.50,0.00,25762.50,0
01/20/2008,0,0,25762.50,0.00,25762.50,0
01/21/2008,0,0,25762.50,0.00,25762.50,0
01/22/2008,0,0.00,25762.50,2125.00,27887.50,2125.00
01/23/2008,0,0.00,25762.50,3737.50,29500.00,1612.50
01/24/2008,1,3887.50,29650.00,3887.50,29650.00,150.00
01/25/2008,0,0.00,29650.00,0.00,29650.00,0.00
01/26/2008,0,0,29650.00,0.00,29650.00,0
01/27/2008,0,0,29650.00,0.00,29650.00,0
01/28/2008,0,0.00,29650.00,0.00,29650.00,0.00
01/29/2008,0,0.00,29650.00,0.00,29650.00,0.00
01/30/2008,0,0.00,29650.00,0.00,29650.00,0.00
01/31/2008,0,0.00,29650.00,0.00,29650.00,0.00
02/01/2008,0,0.00,29650.00,-500.00,29150.00,-500.00
02/02/2008,0,0,29650.00,-500.00,29150.00,0
02/03/2008,0,0,29650.00,-500.00,29150.00,0
02/04/2008,0,0.00,29650.00,412.50,30062.50,912.50
02/05/2008,0,0.00,29650.00,2187.50,31837.50,1775.00
02/06/2008,1,2025.00,31675.00,2025.00,31675.00,-162.50
02/07/2008,0,0.00,31675.00,0.00,31675.00,0.00
02/08/2008,0,0.00,31675.00,0.00,31675.00,0.00
02/09/2008,0,0,31675.00,0.00,31675.00,0
02/10/2008,0,0,31675.00,0.00,31675.00,0
02/11/2008,0,0.00,31675.00,0.00,31675.00,0.00
02/12/2008,0,0.00,31675.00,0.00,31675.00,0.00
02/13/2008,0,0.00,31675.00,0.00,31675.00,0.00
02/14/2008,0,0.00,31675.00,0.00,31675.00,0.00
02/15/2008,0,0.00,31675.00,0.00,31675.00,0.00
02/16/2008,0,0,31675.00,0.00,31675.00,0
02/17/2008,0,0,31675.00,0.00,31675.00,0
