Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
03/31/2011,1,-875.00,-875.00,-875.00,-875.00,-875.00
04/01/2011,0,0.00,-875.00,0.00,-875.00,0.00
04/02/2011,0,0,-875.00,0.00,-875.00,0
04/03/2011,0,0.00,-875.00,0.00,-875.00,0.00
04/04/2011,0,0.00,-875.00,0.00,-875.00,0.00
04/05/2011,0,0.00,-875.00,0.00,-875.00,0.00
04/06/2011,0,0.00,-875.00,0.00,-875.00,0.00
04/07/2011,1,775.00,-100.00,775.00,-100.00,775.00
04/08/2011,0,0.00,-100.00,0.00,-100.00,0.00
04/09/2011,0,0,-100.00,0.00,-100.00,0
04/10/2011,0,0.00,-100.00,0.00,-100.00,0.00
04/11/2011,0,0.00,-100.00,0.00,-100.00,0.00
04/12/2011,0,0.00,-100.00,0.00,-100.00,0.00
04/13/2011,0,0.00,-100.00,0.00,-100.00,0.00
04/14/2011,0,0.00,-100.00,0.00,-100.00,0.00
04/15/2011,0,0.00,-100.00,0.00,-100.00,0.00
04/16/2011,0,0,-100.00,0.00,-100.00,0
04/17/2011,0,0.00,-100.00,0.00,-100.00,0.00
04/18/2011,0,0.00,-100.00,0.00,-100.00,0.00
04/19/2011,0,0.00,-100.00,0.00,-100.00,0.00
04/20/2011,0,0.00,-100.00,0.00,-100.00,0.00
04/21/2011,1,815.00,715.00,1647.50,732.50,832.50
04/22/2011,0,0,715.00,832.50,732.50,0
04/23/2011,0,0,715.00,832.50,732.50,0
04/24/2011,0,0.00,715.00,0.00,715.00,-17.50
04/25/2011,0,0.00,715.00,0.00,715.00,0.00
04/26/2011,0,0.00,715.00,0.00,715.00,0.00
04/27/2011,0,0.00,715.00,0.00,715.00,0.00
04/28/2011,1,935.00,1650.00,935.00,1650.00,935.00
04/29/2011,0,0.00,1650.00,0.00,1650.00,0.00
04/30/2011,0,0,1650.00,0.00,1650.00,0
05/01/2011,0,0.00,1650.00,0.00,1650.00,0.00
05/02/2011,0,0.00,1650.00,0.00,1650.00,0.00
05/03/2011,0,0.00,1650.00,0.00,1650.00,0.00
05/04/2011,0,0.00,1650.00,0.00,1650.00,0.00
05/05/2011,1,2755.00,4405.00,2755.00,4405.00,2755.00
05/06/2011,0,0.00,4405.00,0.00,4405.00,0.00
05/07/2011,0,0,4405.00,0.00,4405.00,0
05/08/2011,0,0.00,4405.00,0.00,4405.00,0.00
05/09/2011,0,0.00,4405.00,0.00,4405.00,0.00
05/10/2011,0,0.00,4405.00,0.00,4405.00,0.00
05/11/2011,0,0.00,4405.00,0.00,4405.00,0.00
05/12/2011,2,-450.00,3955.00,-450.00,3955.00,-450.00
05/13/2011,0,0.00,3955.00,0.00,3955.00,0.00
05/14/2011,0,0,3955.00,0.00,3955.00,0
05/15/2011,0,0.00,3955.00,0.00,3955.00,0.00
05/16/2011,0,0.00,3955.00,0.00,3955.00,0.00
05/17/2011,0,0.00,3955.00,0.00,3955.00,0.00
05/18/2011,0,0.00,3955.00,0.00,3955.00,0.00
05/19/2011,1,265.00,4220.00,265.00,4220.00,265.00
05/20/2011,0,0.00,4220.00,0.00,4220.00,0.00
05/21/2011,0,0,4220.00,0.00,4220.00,0
05/22/2011,0,0.00,4220.00,0.00,4220.00,0.00
05/23/2011,0,0.00,4220.00,0.00,4220.00,0.00
05/24/2011,0,0.00,4220.00,0.00,4220.00,0.00
05/25/2011,0,0.00,4220.00,0.00,4220.00,0.00
05/26/2011,1,-1025.00,3195.00,-1025.00,3195.00,-1025.00
05/27/2011,0,0.00,3195.00,0.00,3195.00,0.00
05/28/2011,0,0,3195.00,0.00,3195.00,0
05/29/2011,0,0.00,3195.00,0.00,3195.00,0.00
05/30/2011,0,0.00,3195.00,0.00,3195.00,0.00
05/31/2011,0,0.00,3195.00,0.00,3195.00,0.00
06/01/2011,0,0.00,3195.00,0.00,3195.00,0.00
06/02/2011,1,785.00,3980.00,785.00,3980.00,785.00
06/03/2011,0,0.00,3980.00,0.00,3980.00,0.00
06/04/2011,0,0,3980.00,0.00,3980.00,0
06/05/2011,0,0.00,3980.00,0.00,3980.00,0.00
06/06/2011,0,0.00,3980.00,0.00,3980.00,0.00
