Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
06/15/2010,0,0.00,0.00,0.00,0.00,0.00
06/16/2010,1,443.20,443.20,1763.10,1763.10,1763.10
06/17/2010,1,1665.40,2108.60,1665.40,2108.60,345.50
06/18/2010,0,0.00,2108.60,0.00,2108.60,0.00
06/19/2010,0,0,2108.60,0.00,2108.60,0
06/20/2010,0,0,2108.60,0.00,2108.60,0
06/21/2010,0,0.00,2108.60,-246.70,1861.90,-246.70
06/22/2010,1,-703.40,1405.20,-703.40,1405.20,-456.70
06/23/2010,0,0.00,1405.20,0.00,1405.20,0.00
06/24/2010,0,0.00,1405.20,0.00,1405.20,0.00
06/25/2010,0,0.00,1405.20,0.00,1405.20,0.00
06/26/2010,0,0,1405.20,0.00,1405.20,0
06/27/2010,0,0,1405.20,0.00,1405.20,0
06/28/2010,0,0.00,1405.20,0.00,1405.20,0.00
06/29/2010,0,0.00,1405.20,0.00,1405.20,0.00
06/30/2010,0,0.00,1405.20,0.00,1405.20,0.00
07/01/2010,0,0.00,1405.20,0.00,1405.20,0.00
07/02/2010,0,0.00,1405.20,236.30,1641.50,236.30
07/03/2010,0,0,1405.20,236.30,1641.50,0
07/04/2010,0,0,1405.20,236.30,1641.50,0
07/05/2010,0,0,1405.20,236.30,1641.50,0
07/06/2010,1,434.80,1840.00,-126.90,1278.30,-363.20
07/07/2010,0,0.00,1840.00,-3144.70,-1304.70,-2583.00
07/08/2010,1,-5067.20,-3227.20,-5067.20,-3227.20,-1922.50
07/09/2010,0,0.00,-3227.20,0.00,-3227.20,0.00
07/10/2010,0,0,-3227.20,0.00,-3227.20,0
07/11/2010,0,0,-3227.20,0.00,-3227.20,0
07/12/2010,0,0.00,-3227.20,0.00,-3227.20,0.00
07/13/2010,0,0.00,-3227.20,0.00,-3227.20,0.00
07/14/2010,0,0.00,-3227.20,0.00,-3227.20,0.00
07/15/2010,0,0.00,-3227.20,0.00,-3227.20,0.00
07/16/2010,0,0.00,-3227.20,0.00,-3227.20,0.00
07/17/2010,0,0,-3227.20,0.00,-3227.20,0
07/18/2010,0,0,-3227.20,0.00,-3227.20,0
07/19/2010,0,0.00,-3227.20,0.00,-3227.20,0.00
07/20/2010,0,0.00,-3227.20,0.00,-3227.20,0.00
07/21/2010,0,0.00,-3227.20,0.00,-3227.20,0.00
07/22/2010,0,0.00,-3227.20,0.00,-3227.20,0.00
07/23/2010,0,0.00,-3227.20,0.00,-3227.20,0.00
07/24/2010,0,0,-3227.20,0.00,-3227.20,0
07/25/2010,0,0,-3227.20,0.00,-3227.20,0
07/26/2010,0,0.00,-3227.20,0.00,-3227.20,0.00
07/27/2010,0,0.00,-3227.20,0.00,-3227.20,0.00
07/28/2010,0,0.00,-3227.20,0.00,-3227.20,0.00
07/29/2010,0,0.00,-3227.20,0.00,-3227.20,0.00
07/30/2010,0,0.00,-3227.20,0.00,-3227.20,0.00
07/31/2010,0,0,-3227.20,0.00,-3227.20,0
08/01/2010,0,0,-3227.20,0.00,-3227.20,0
08/02/2010,0,0.00,-3227.20,2122.10,-1105.10,2122.10
08/03/2010,1,2308.00,-919.20,3535.50,308.30,1413.40
08/04/2010,1,1085.80,166.60,998.70,79.50,-228.80
08/05/2010,1,-170.00,-3.40,-170.00,-3.40,-82.90
08/06/2010,0,0.00,-3.40,0.00,-3.40,0.00
08/07/2010,0,0,-3.40,0.00,-3.40,0
08/08/2010,0,0,-3.40,0.00,-3.40,0
08/09/2010,0,0.00,-3.40,0.00,-3.40,0.00
08/10/2010,0,0.00,-3.40,0.00,-3.40,0.00
08/11/2010,0,0.00,-3.40,0.00,-3.40,0.00
08/12/2010,0,0.00,-3.40,76.70,73.30,76.70
08/13/2010,1,44.20,40.80,44.20,40.80,-32.50
08/14/2010,0,0,40.80,0.00,40.80,0
08/15/2010,0,0,40.80,0.00,40.80,0
08/16/2010,0,0.00,40.80,0.00,40.80,0.00
08/17/2010,0,0.00,40.80,0.00,40.80,0.00
08/18/2010,0,0.00,40.80,0.00,40.80,0.00
08/19/2010,0,0.00,40.80,0.00,40.80,0.00
08/20/2010,0,0.00,40.80,0.00,40.80,0.00
