Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
01/14/2008,1,-925.00,-925.00,-925.00,-925.00,-925.00
01/15/2008,0,0.00,-925.00,0.00,-925.00,0.00
01/16/2008,0,0.00,-925.00,0.00,-925.00,0.00
01/17/2008,1,515.00,-410.00,515.00,-410.00,515.00
01/18/2008,0,0.00,-410.00,0.00,-410.00,0.00
01/19/2008,0,0,-410.00,0.00,-410.00,0
01/20/2008,0,0.00,-410.00,0.00,-410.00,0.00
01/21/2008,0,0.00,-410.00,0.00,-410.00,0.00
01/22/2008,0,0.00,-410.00,0.00,-410.00,0.00
01/23/2008,0,0.00,-410.00,0.00,-410.00,0.00
01/24/2008,1,-1055.00,-1465.00,-1055.00,-1465.00,-1055.00
01/25/2008,0,0.00,-1465.00,0.00,-1465.00,0.00
01/26/2008,0,0,-1465.00,0.00,-1465.00,0
01/27/2008,0,0.00,-1465.00,0.00,-1465.00,0.00
01/28/2008,0,0.00,-1465.00,0.00,-1465.00,0.00
01/29/2008,0,0.00,-1465.00,0.00,-1465.00,0.00
01/30/2008,0,0.00,-1465.00,0.00,-1465.00,0.00
01/31/2008,0,0.00,-1465.00,172.50,-1292.50,172.50
02/01/2008,2,830.00,-635.00,830.00,-635.00,657.50
02/02/2008,0,0,-635.00,0.00,-635.00,0
02/03/2008,0,0.00,-635.00,0.00,-635.00,0.00
02/04/2008,0,0.00,-635.00,0.00,-635.00,0.00
02/05/2008,0,0.00,-635.00,0.00,-635.00,0.00
02/06/2008,0,0.00,-635.00,0.00,-635.00,0.00
02/07/2008,0,0.00,-635.00,0.00,-635.00,0.00
02/08/2008,0,0.00,-635.00,0.00,-635.00,0.00
02/09/2008,0,0,-635.00,0.00,-635.00,0
02/10/2008,0,0.00,-635.00,0.00,-635.00,0.00
02/11/2008,0,0.00,-635.00,0.00,-635.00,0.00
02/12/2008,0,0.00,-635.00,0.00,-635.00,0.00
02/13/2008,0,0.00,-635.00,672.50,37.50,672.50
02/14/2008,0,0.00,-635.00,2442.50,1807.50,1770.00
02/15/2008,1,2375.00,1740.00,1977.50,1342.50,-465.00
02/16/2008,0,0,1740.00,-397.50,1342.50,0
02/17/2008,0,0.00,1740.00,-567.50,1172.50,-170.00
02/18/2008,1,-615.00,1125.00,-615.00,1125.00,-47.50
02/19/2008,0,0.00,1125.00,0.00,1125.00,0.00
02/20/2008,0,0.00,1125.00,0.00,1125.00,0.00
02/21/2008,0,0.00,1125.00,0.00,1125.00,0.00
02/22/2008,1,-885.00,240.00,-885.00,240.00,-885.00
02/23/2008,0,0,240.00,0.00,240.00,0
02/24/2008,0,0.00,240.00,0.00,240.00,0.00
02/25/2008,0,0.00,240.00,0.00,240.00,0.00
02/26/2008,0,0.00,240.00,0.00,240.00,0.00
02/27/2008,0,0.00,240.00,0.00,240.00,0.00
02/28/2008,0,0.00,240.00,0.00,240.00,0.00
02/29/2008,0,0.00,240.00,0.00,240.00,0.00
03/01/2008,0,0,240.00,0.00,240.00,0
03/02/2008,0,0.00,240.00,0.00,240.00,0.00
03/03/2008,0,0.00,240.00,0.00,240.00,0.00
03/04/2008,1,2485.00,2725.00,2485.00,2725.00,2485.00
03/05/2008,0,0.00,2725.00,0.00,2725.00,0.00
03/06/2008,0,0.00,2725.00,0.00,2725.00,0.00
03/07/2008,0,0.00,2725.00,0.00,2725.00,0.00
03/08/2008,0,0,2725.00,0.00,2725.00,0
03/09/2008,0,0.00,2725.00,0.00,2725.00,0.00
03/10/2008,0,0.00,2725.00,0.00,2725.00,0.00
03/11/2008,1,-815.00,1910.00,-815.00,1910.00,-815.00
03/12/2008,0,0.00,1910.00,0.00,1910.00,0.00
03/13/2008,0,0.00,1910.00,0.00,1910.00,0.00
03/14/2008,0,0.00,1910.00,0.00,1910.00,0.00
03/15/2008,0,0,1910.00,0.00,1910.00,0
03/16/2008,0,0.00,1910.00,0.00,1910.00,0.00
03/17/2008,0,0.00,1910.00,0.00,1910.00,0.00
03/18/2008,0,0.00,1910.00,0.00,1910.00,0.00
03/19/2008,0,0.00,1910.00,0.00,1910.00,0.00
03/20/2008,0,0.00,1910.00,0.00,1910.00,0.00
03/21/2008,0,0,1910.00,0.00,1910.00,0
03/22/2008,0,0,1910.00,0.00,1910.00,0
03/23/2008,0,0.00,1910.00,0.00,1910.00,0.00
03/24/2008,0,0.00,1910.00,0.00,1910.00,0.00
03/25/2008,0,0.00,1910.00,0.00,1910.00,0.00
03/26/2008,0,0.00,1910.00,0.00,1910.00,0.00
03/27/2008,0,0.00,1910.00,0.00,1910.00,0.00
03/28/2008,0,0.00,1910.00,0.00,1910.00,0.00
03/29/2008,0,0,1910.00,0.00,1910.00,0
03/30/2008,0,0.00,1910.00,0.00,1910.00,0.00
03/31/2008,0,0.00,1910.00,0.00,1910.00,0.00
04/01/2008,0,0.00,1910.00,522.50,2432.50,522.50
04/02/2008,1,3775.00,5685.00,3775.00,5685.00,3252.50
04/03/2008,0,0.00,5685.00,0.00,5685.00,0.00
04/04/2008,0,0.00,5685.00,0.00,5685.00,0.00
04/05/2008,0,0,5685.00,0.00,5685.00,0
04/06/2008,0,0.00,5685.00,0.00,5685.00,0.00
04/07/2008,0,0.00,5685.00,0.00,5685.00,0.00
04/08/2008,0,0.00,5685.00,0.00,5685.00,0.00
04/09/2008,0,0.00,5685.00,0.00,5685.00,0.00
04/10/2008,1,1055.00,6740.00,1055.00,6740.00,1055.00
04/11/2008,0,0.00,6740.00,0.00,6740.00,0.00
04/12/2008,0,0,6740.00,0.00,6740.00,0
04/13/2008,0,0.00,6740.00,0.00,6740.00,0.00
04/14/2008,0,0.00,6740.00,0.00,6740.00,0.00
