Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
01/07/2008,1,530.00,530.00,530.00,530.00,530.00
01/08/2008,1,-770.00,-240.00,-770.00,-240.00,-770.00
01/09/2008,0,0.00,-240.00,0.00,-240.00,0.00
01/10/2008,0,0.00,-240.00,0.00,-240.00,0.00
01/11/2008,0,0.00,-240.00,0.00,-240.00,0.00
01/12/2008,0,0,-240.00,0.00,-240.00,0
01/13/2008,0,0.00,-240.00,0.00,-240.00,0.00
01/14/2008,1,255.00,15.00,255.00,15.00,255.00
01/15/2008,1,-295.00,-280.00,-295.00,-280.00,-295.00
01/16/2008,1,517.50,237.50,632.50,352.50,632.50
01/17/2008,2,-440.00,-202.50,-440.00,-202.50,-555.00
01/18/2008,0,0.00,-202.50,0.00,-202.50,0.00
01/19/2008,0,0,-202.50,0.00,-202.50,0
01/20/2008,0,0.00,-202.50,0.00,-202.50,0.00
01/21/2008,1,-2020.00,-2222.50,-2020.00,-2222.50,-2020.00
01/22/2008,0,0.00,-2222.50,1127.50,-1095.00,1127.50
01/23/2008,2,2422.50,200.00,2422.50,200.00,1295.00
01/24/2008,0,0.00,200.00,0.00,200.00,0.00
01/25/2008,0,0.00,200.00,0.00,200.00,0.00
01/26/2008,0,0,200.00,0.00,200.00,0
01/27/2008,0,0.00,200.00,0.00,200.00,0.00
01/28/2008,0,0.00,200.00,0.00,200.00,0.00
01/29/2008,0,0.00,200.00,0.00,200.00,0.00
01/30/2008,0,0.00,200.00,0.00,200.00,0.00
01/31/2008,0,0.00,200.00,0.00,200.00,0.00
02/01/2008,0,0.00,200.00,0.00,200.00,0.00
02/02/2008,0,0,200.00,0.00,200.00,0
02/03/2008,0,0.00,200.00,-22.50,177.50,-22.50
02/04/2008,1,405.00,605.00,405.00,605.00,427.50
02/05/2008,1,-1707.50,-1102.50,-1707.50,-1102.50,-1707.50
02/06/2008,1,-1132.50,-2235.00,-1132.50,-2235.00,-1132.50
02/07/2008,0,0.00,-2235.00,0.00,-2235.00,0.00
02/08/2008,0,0.00,-2235.00,0.00,-2235.00,0.00
02/09/2008,0,0,-2235.00,0.00,-2235.00,0
02/10/2008,0,0.00,-2235.00,0.00,-2235.00,0.00
02/11/2008,0,0.00,-2235.00,0.00,-2235.00,0.00
02/12/2008,0,0.00,-2235.00,0.00,-2235.00,0.00
02/13/2008,0,0.00,-2235.00,0.00,-2235.00,0.00
02/14/2008,1,-95.00,-2330.00,-95.00,-2330.00,-95.00
02/15/2008,0,0.00,-2330.00,0.00,-2330.00,0.00
02/16/2008,0,0,-2330.00,0.00,-2330.00,0
02/17/2008,0,0.00,-2330.00,0.00,-2330.00,0.00
02/18/2008,0,0.00,-2330.00,0.00,-2330.00,0.00
02/19/2008,0,0.00,-2330.00,490.00,-1840.00,490.00
02/20/2008,1,855.00,-1475.00,855.00,-1475.00,365.00
02/21/2008,0,0.00,-1475.00,0.00,-1475.00,0.00
02/22/2008,0,0.00,-1475.00,0.00,-1475.00,0.00
02/23/2008,0,0,-1475.00,0.00,-1475.00,0
02/24/2008,0,0.00,-1475.00,40.00,-1435.00,40.00
02/25/2008,1,1667.50,192.50,1667.50,192.50,1627.50
02/26/2008,0,0.00,192.50,-522.50,-330.00,-522.50
02/27/2008,1,-1157.50,-965.00,-1157.50,-965.00,-635.00
02/28/2008,0,0.00,-965.00,0.00,-965.00,0.00
02/29/2008,0,0.00,-965.00,0.00,-965.00,0.00
03/01/2008,0,0,-965.00,0.00,-965.00,0
03/02/2008,0,0.00,-965.00,0.00,-965.00,0.00
