Date,Equity,Open,TrueRange,Trades
01/29/2008,115.00,1,530.00000,1
01/30/2008,-300.00,1,2110.00000,3
01/31/2008,195.00,0,1050.00000,4
02/01/2008,0.00,0,3380.00000,4
02/03/2008,0.00,0,890.00000,4
02/04/2008,1275.00,1,1970.00000,7
02/05/2008,1700.00,1,1960.00000,10
02/06/2008,-1040.00,1,2200.00000,13
02/07/2008,1185.00,0,1590.00000,15
02/08/2008,-570.00,0,1250.00000,17
02/10/2008,0.00,0,500.00000,17
02/11/2008,-85.00,1,1140.00000,18
02/12/2008,30.00,1,2300.00000,20
02/13/2008,80.00,1,1500.00000,22
02/14/2008,635.00,0,1250.00000,24
02/15/2008,-200.00,0,1840.00000,26
02/17/2008,0.00,0,570.00000,26
02/18/2008,465.00,1,910.00000,29
02/19/2008,-1310.00,1,2410.00000,34
02/20/2008,65.00,0,3310.00000,35
02/21/2008,0.00,0,20590.00000,35
02/22/2008,60.00,0,1490.00000,37
02/24/2008,0.00,0,530.00000,37
02/25/2008,-305.00,1,5680.00000,38
02/26/2008,85.00,0,5060.00000,39
02/27/2008,-275.00,1,1370.00000,40
02/28/2008,15.00,0,2050.00000,41
02/29/2008,0.00,0,1230.00000,41
03/02/2008,0.00,0,900.00000,41
03/03/2008,-355.00,1,1180.00000,42
03/04/2008,185.00,0,8280.00000,43
03/05/2008,-1345.00,1,3450.00000,46
03/06/2008,15.00,0,2780.00000,47
03/07/2008,0.00,0,1970.00000,47
03/09/2008,0.00,0,690.00000,47
03/10/2008,1275.00,1,2090.00000,50
03/11/2008,-15.00,0,2180.00000,51
03/12/2008,0.00,0,1680.00000,51
03/13/2008,-135.00,1,1880.00000,52
03/14/2008,255.00,0,1730.00000,53
03/16/2008,0.00,0,3410.00000,53
03/17/2008,0.00,0,3500.00000,53
03/18/2008,1155.00,1,3660.00000,54
03/19/2008,710.00,1,8280.00000,58
03/20/2008,1550.00,1,3430.00000,61
03/23/2008,-440.00,1,1110.00000,61
03/24/2008,-1185.00,0,2130.00000,63
03/25/2008,-420.00,0,1910.00000,65
03/26/2008,-490.00,0,2050.00000,67
03/27/2008,0.00,0,1340.00000,67
03/28/2008,0.00,0,2400.00000,67
03/30/2008,0.00,0,700.00000,67
03/31/2008,105.00,1,2860.00000,68
04/01/2008,2190.00,1,4770.00000,71
04/02/2008,-880.00,1,2640.00000,74
04/03/2008,-155.00,0,2120.00000,76
04/04/2008,-360.00,0,1600.00000,78
04/06/2008,0.00,0,580.00000,78
04/07/2008,-890.00,0,1930.00000,80
04/08/2008,-190.00,0,1790.00000,82
04/09/2008,0.00,0,3300.00000,82
04/10/2008,0.00,0,1840.00000,82
04/11/2008,0.00,0,1530.00000,82
04/13/2008,25.00,1,1220.00000,83
04/14/2008,730.00,1,1790.00000,85
04/15/2008,-310.00,1,1120.00000,87
04/16/2008,305.00,0,2540.00000,88
04/17/2008,0.00,0,1590.00000,88
04/18/2008,0.00,0,4250.00000,88
04/20/2008,0.00,0,580.00000,88
04/21/2008,135.00,1,1790.00000,91
04/22/2008,-100.00,1,1410.00000,94
04/23/2008,1800.00,1,2650.00000,97
04/24/2008,1710.00,1,2400.00000,100
04/25/2008,-295.00,0,1900.00000,102
04/27/2008,505.00,1,780.00000,103
04/28/2008,140.00,1,870.00000,106
04/29/2008,1020.00,1,2420.00000,109
04/30/2008,10.00,1,1950.00000,112
05/01/2008,1865.00,0,3250.00000,114
05/02/2008,-300.00,0,1450.00000,116
05/04/2008,155.00,1,810.00000,117
05/05/2008,-190.00,1,1310.00000,120
05/06/2008,-1065.00,0,1150.00000,122
05/07/2008,0.00,0,1540.00000,122
05/08/2008,0.00,0,2060.00000,122
05/09/2008,0.00,0,1980.00000,122
05/11/2008,0.00,0,580.00000,122
05/12/2008,0.00,0,1050.00000,122
05/13/2008,190.00,0,2250.00000,124
05/14/2008,-75.00,1,1170.00000,127
05/15/2008,-965.00,0,2620.00000,129
05/16/2008,-1480.00,0,2480.00000,133
05/18/2008,0.00,0,450.00000,133
05/19/2008,115.00,1,1360.00000,134
05/20/2008,125.00,0,2050.00000,135
05/21/2008,0.00,0,1890.00000,135
05/22/2008,45.00,1,2060.00000,136
05/23/2008,135.00,0,1420.00000,137
05/25/2008,0.00,0,480.00000,137
05/26/2008,-125.00,1,740.00000,138
05/27/2008,125.00,0,2570.00000,139
05/28/2008,435.00,1,2090.00000,142
05/29/2008,1640.00,1,2860.00000,145
05/30/2008,-745.00,0,1980.00000,147
06/01/2008,-405.00,1,580.00000,148
06/02/2008,-755.00,0,1680.00000,150
06/03/2008,1620.00,0,2260.00000,152
06/04/2008,-655.00,1,1090.00000,155
06/05/2008,250.00,1,1560.00000,157
06/06/2008,-975.00,0,2240.00000,159
06/08/2008,55.00,1,520.00000,160
06/09/2008,150.00,1,2170.00000,163
06/10/2008,-115.00,0,2780.00000,164
06/11/2008,-1385.00,1,1390.00000,167
06/12/2008,320.00,1,1940.00000,169
06/13/2008,525.00,0,1520.00000,171
06/15/2008,85.00,1,370.00000,172
06/16/2008,-1485.00,0,2860.00000,176
06/17/2008,0.00,0,1480.00000,176
06/18/2008,0.00,0,1470.00000,176
06/19/2008,0.00,0,2220.00000,176
06/20/2008,0.00,0,1170.00000,176
06/22/2008,0.00,0,530.00000,176
06/23/2008,0.00,0,3230.00000,176
06/24/2008,-295.00,1,1210.00000,179
06/25/2008,460.00,1,1770.00000,181
06/26/2008,-1590.00,1,3310.00000,186
06/27/2008,-1115.00,0,2080.00000,190
06/29/2008,0.00,0,430.00000,190
06/30/2008,0.00,0,1750.00000,190
07/01/2008,0.00,0,2460.00000,190
07/02/2008,0.00,0,1440.00000,190
07/03/2008,0.00,0,2200.00000,190
07/04/2008,0.00,0,750.00000,190
07/06/2008,-575.00,1,880.00000,191
07/07/2008,-10.00,1,1500.00000,193
07/08/2008,1525.00,0,2230.00000,195
07/09/2008,-415.00,1,1440.00000,198
07/10/2008,-1500.00,1,2280.00000,201
07/11/2008,-1835.00,0,2650.00000,205
07/13/2008,0.00,0,540.00000,205
07/14/2008,0.00,0,2220.00000,205
07/15/2008,0.00,0,2090.00000,205
07/16/2008,0.00,0,2430.00000,205
07/17/2008,0.00,0,2690.00000,205
07/18/2008,-280.00,0,1480.00000,207
07/20/2008,265.00,1,450.00000,208
07/21/2008,195.00,0,1070.00000,210
07/22/2008,130.00,0,3490.00000,212
07/23/2008,2115.00,1,3180.00000,215
07/24/2008,1030.00,1,1550.00000,218
07/25/2008,1315.00,0,1670.00000,220
07/27/2008,0.00,0,410.00000,220
07/28/2008,600.00,0,1060.00000,222
07/29/2008,1070.00,0,1940.00000,224
07/30/2008,2285.00,1,2440.00000,227
07/31/2008,-1320.00,1,1820.00000,230
08/01/2008,-75.00,0,1570.00000,232
08/03/2008,115.00,1,530.00000,233
08/04/2008,620.00,1,2380.00000,236
08/05/2008,1280.00,1,2130.00000,239
08/06/2008,120.00,1,1410.00000,242
08/07/2008,280.00,1,1890.00000,245
08/08/2008,1555.00,0,2030.00000,247
08/10/2008,145.00,1,740.00000,248
08/11/2008,-760.00,1,6410.00000,253
08/12/2008,-2000.00,1,2490.00000,258
08/13/2008,165.00,0,2310.00000,260
08/14/2008,425.00,1,4920.00000,265
08/15/2008,165.00,0,2830.00000,267
08/17/2008,495.00,1,1210.00000,268
08/18/2008,-580.00,1,1550.00000,271
08/19/2008,-55.00,0,3700.00000,273
08/20/2008,370.00,0,1870.00000,275
08/21/2008,-1355.00,1,2490.00000,280
08/22/2008,335.00,0,1750.00000,281
08/24/2008,145.00,1,870.00000,282
08/25/2008,145.00,0,1080.00000,283
08/26/2008,0.00,0,2400.00000,283
08/27/2008,-310.00,0,1340.00000,285
08/28/2008,0.00,0,1920.00000,285
08/29/2008,0.00,0,1020.00000,285
08/31/2008,-285.00,1,820.00000,286
09/01/2008,-170.00,1,2310.00000,288
09/02/2008,2100.00,1,2720.00000,291
09/03/2008,-1300.00,1,1980.00000,294
09/04/2008,60.00,1,2470.00000,297
