Date,Equity,DD
01/29/2008,115,0
01/30/2008,-185,-300
01/31/2008,10,-105
02/01/2008,10,-105
02/03/2008,10,-105
02/04/2008,1285,0
02/05/2008,2985,0
02/06/2008,1945,-1040
02/07/2008,3130,0
02/08/2008,2560,-570
02/10/2008,2560,-570
02/11/2008,2475,-655
02/12/2008,2505,-625
02/13/2008,2585,-545
02/14/2008,3220,0
02/15/2008,3020,-200
02/17/2008,3020,-200
02/18/2008,3485,0
02/19/2008,2175,-1310
02/20/2008,2240,-1245
02/21/2008,2240,-1245
02/22/2008,2300,-1185
02/24/2008,2300,-1185
02/25/2008,1995,-1490
02/26/2008,2080,-1405
02/27/2008,1805,-1680
02/28/2008,1820,-1665
02/29/2008,1820,-1665
03/02/2008,1820,-1665
03/03/2008,1465,-2020
03/04/2008,1650,-1835
03/05/2008,305,-3180
03/06/2008,320,-3165
03/07/2008,320,-3165
03/09/2008,320,-3165
03/10/2008,1595,-1890
03/11/2008,1580,-1905
03/12/2008,1580,-1905
03/13/2008,1445,-2040
03/14/2008,1700,-1785
03/16/2008,1700,-1785
03/17/2008,1700,-1785
03/18/2008,2855,-630
03/19/2008,3565,0
03/20/2008,5115,0
03/23/2008,4675,-440
03/24/2008,3490,-1625
03/25/2008,3070,-2045
03/26/2008,2580,-2535
03/27/2008,2580,-2535
03/28/2008,2580,-2535
03/30/2008,2580,-2535
03/31/2008,2685,-2430
04/01/2008,4875,-240
04/02/2008,3995,-1120
04/03/2008,3840,-1275
04/04/2008,3480,-1635
04/06/2008,3480,-1635
04/07/2008,2590,-2525
04/08/2008,2400,-2715
04/09/2008,2400,-2715
04/10/2008,2400,-2715
04/11/2008,2400,-2715
04/13/2008,2425,-2690
04/14/2008,3155,-1960
04/15/2008,2845,-2270
04/16/2008,3150,-1965
04/17/2008,3150,-1965
04/18/2008,3150,-1965
04/20/2008,3150,-1965
04/21/2008,3285,-1830
04/22/2008,3185,-1930
04/23/2008,4985,-130
04/24/2008,6695,0
04/25/2008,6400,-295
04/27/2008,6905,0
04/28/2008,7045,0
04/29/2008,8065,0
04/30/2008,8075,0
05/01/2008,9940,0
05/02/2008,9640,-300
05/04/2008,9795,-145
05/05/2008,9605,-335
05/06/2008,8540,-1400
05/07/2008,8540,-1400
05/08/2008,8540,-1400
05/09/2008,8540,-1400
05/11/2008,8540,-1400
05/12/2008,8540,-1400
05/13/2008,8730,-1210
05/14/2008,8655,-1285
05/15/2008,7690,-2250
05/16/2008,6210,-3730
05/18/2008,6210,-3730
05/19/2008,6325,-3615
05/20/2008,6450,-3490
05/21/2008,6450,-3490
05/22/2008,6495,-3445
05/23/2008,6630,-3310
05/25/2008,6630,-3310
05/26/2008,6505,-3435
05/27/2008,6630,-3310
05/28/2008,7065,-2875
05/29/2008,8705,-1235
05/30/2008,7960,-1980
06/01/2008,7555,-2385
06/02/2008,6800,-3140
06/03/2008,8420,-1520
06/04/2008,7765,-2175
06/05/2008,8015,-1925
06/06/2008,7040,-2900
06/08/2008,7095,-2845
06/09/2008,7245,-2695
06/10/2008,7130,-2810
06/11/2008,5745,-4195
06/12/2008,6065,-3875
06/13/2008,6590,-3350
06/15/2008,6675,-3265
06/16/2008,5190,-4750
06/17/2008,5190,-4750
06/18/2008,5190,-4750
06/19/2008,5190,-4750
06/20/2008,5190,-4750
06/22/2008,5190,-4750
06/23/2008,5190,-4750
06/24/2008,4895,-5045
06/25/2008,5355,-4585
06/26/2008,3765,-6175
06/27/2008,2650,-7290
06/29/2008,2650,-7290
06/30/2008,2650,-7290
07/01/2008,2650,-7290
07/02/2008,2650,-7290
07/03/2008,2650,-7290
07/04/2008,2650,-7290
07/06/2008,2075,-7865
07/07/2008,2065,-7875
07/08/2008,3590,-6350
07/09/2008,3175,-6765
07/10/2008,1675,-8265
07/11/2008,-160,-10100
07/13/2008,-160,-10100
07/14/2008,-160,-10100
07/15/2008,-160,-10100
07/16/2008,-160,-10100
07/17/2008,-160,-10100
07/18/2008,-440,-10380
07/20/2008,-175,-10115
07/21/2008,20,-9920
07/22/2008,150,-9790
07/23/2008,2265,-7675
07/24/2008,3295,-6645
07/25/2008,4610,-5330
07/27/2008,4610,-5330
07/28/2008,5210,-4730
07/29/2008,6280,-3660
07/30/2008,8565,-1375
07/31/2008,7245,-2695
08/01/2008,7170,-2770
08/03/2008,7285,-2655
08/04/2008,7905,-2035
08/05/2008,9185,-755
08/06/2008,9305,-635
08/07/2008,9585,-355
08/08/2008,11140,0
