Date,Equity,Open,TrueRange,Trades
02/04/2008,1285.00,1,1970.00000,15
02/05/2008,1720.00,1,1960.00000,18
02/06/2008,180.00,1,2200.00000,20
02/07/2008,1185.00,0,1590.00000,22
02/08/2008,-570.00,0,1250.00000,24
02/10/2008,0.00,0,500.00000,24
02/11/2008,0.00,0,1140.00000,24
02/12/2008,0.00,0,2300.00000,24
02/13/2008,105.00,1,1500.00000,25
02/14/2008,180.00,-1,1250.00000,26
02/15/2008,-255.00,0,1840.00000,27
02/17/2008,0.00,0,570.00000,27
02/18/2008,475.00,1,910.00000,30
02/19/2008,-865.00,0,2410.00000,32
02/20/2008,0.00,0,3310.00000,32
02/21/2008,0.00,0,20590.00000,32
02/22/2008,60.00,0,1490.00000,34
02/24/2008,0.00,0,530.00000,34
02/25/2008,0.00,0,5680.00000,34
02/26/2008,0.00,0,5060.00000,34
02/27/2008,0.00,0,1370.00000,34
02/28/2008,0.00,0,2050.00000,34
02/29/2008,0.00,0,1230.00000,34
03/02/2008,0.00,0,900.00000,34
03/03/2008,0.00,0,1180.00000,34
03/04/2008,0.00,0,8280.00000,34
03/05/2008,0.00,0,3450.00000,34
03/06/2008,0.00,0,2780.00000,34
03/07/2008,0.00,0,1970.00000,34
03/09/2008,0.00,0,690.00000,34
03/10/2008,1100.00,0,2090.00000,36
03/11/2008,0.00,0,2180.00000,36
03/12/2008,0.00,0,1680.00000,36
03/13/2008,0.00,0,1880.00000,36
03/14/2008,0.00,0,1730.00000,36
03/16/2008,0.00,0,3410.00000,36
03/17/2008,0.00,0,3500.00000,36
03/18/2008,0.00,0,3660.00000,36
03/19/2008,695.00,1,8280.00000,39
03/20/2008,1550.00,1,3430.00000,42
03/23/2008,-440.00,1,1110.00000,42
03/24/2008,25.00,0,2130.00000,43
03/25/2008,0.00,0,1910.00000,43
03/26/2008,-490.00,0,2050.00000,45
03/27/2008,0.00,0,1340.00000,45
03/28/2008,0.00,0,2400.00000,45
03/30/2008,0.00,0,700.00000,45
03/31/2008,0.00,0,2860.00000,45
04/01/2008,385.00,1,4770.00000,46
04/02/2008,-140.00,1,2640.00000,48
04/03/2008,-155.00,0,2120.00000,50
04/04/2008,-330.00,0,1600.00000,52
04/06/2008,0.00,0,580.00000,52
04/07/2008,-860.00,0,1930.00000,54
04/08/2008,0.00,0,1790.00000,54
04/09/2008,0.00,0,3300.00000,54
04/10/2008,0.00,0,1840.00000,54
04/11/2008,0.00,0,1530.00000,54
